# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 5.904900758082275158e-02 6.881160119079777759e-01 2.231665948036323441e-02 6.906449385468775848e-01 -1.485193460495739304e+00 0.000000000000000000e+00
-1.540165749487698008e+02 6.929326486602886692e-02 6.244548223636925410e-01 2.231665948036323441e-02 6.282876584249165175e-01 -1.460282431890017385e+00 3.200000000000000178e+00
-1.528435544209105785e+02 7.830348224201977292e-02 5.639810853184237249e-01 2.441377618767445398e-02 5.693909903819811547e-01 -1.432837661128318230e+00 6.400000000000000355e+00
-1.516705338930513278e+02 8.579120987390687070e-02 5.064949380704792947e-01 2.673923226178361728e-02 5.137093088339430569e-01 -1.403006710628611042e+00 9.599999999999999645e+00
-1.504975133651920771e+02 9.196712470548776275e-02 4.520857623375130752e-01 2.953089408798855592e-02 4.613453029292540197e-01 -1.370106324443781887e+00 1.280000000000000071e+01
-1.493244928373328548e+02 9.681453587790322945e-02 4.006995686282261437e-01 3.283803418454093320e-02 4.122295460736655204e-01 -1.333726020686115898e+00 1.600000000000000000e+01
-1.481514723094736041e+02 1.004543774894810226e-01 3.523508941130572558e-01 3.683128516539065089e-02 3.663908221272335064e-01 -1.293066948057762122e+00 1.919999999999999929e+01
-1.469784517816143818e+02 1.029213343386628787e-01 3.069952439386881005e-01 4.167852835705517650e-02 3.237883272494940790e-01 -1.247318313553234637e+00 2.239999999999999858e+01
-1.458054312537551311e+02 1.043150655652072545e-01 2.646150132795734855e-01 4.763277194383968433e-02 2.844340664491902260e-01 -1.195287409390183964e+00 2.560000000000000142e+01
-1.446324107258959089e+02 1.046898839408448439e-01 2.251579214408673535e-01 5.499854017794227057e-02 2.483063861182780441e-01 -1.135569874975311588e+00 2.880000000000000071e+01
-1.434593901980366581e+02 1.041377616663994171e-01 1.885838950850728668e-01 6.417243382176615607e-02 2.154264581947760437e-01 -1.066258576128149338e+00 3.200000000000000000e+01
-1.422863696701774359e+02 1.027223708555893150e-01 1.548288518396755686e-01 7.560418290830936416e-02 1.858059709379260849e-01 -9.850187105840713109e-01 3.520000000000000284e+01
-1.411133491423181852e+02 1.005315311304717241e-01 1.238343886477755729e-01 8.974258395045098258e-02 1.595040581402408231e-01 -8.888880590412066018e-01 3.839999999999999858e+01
-1.399403286144589345e+02 9.763323432192064222e-02 9.552402022714148733e-02 1.068078441315736399e-01 1.365909473007431707e-01 -7.744789241900514876e-01 4.160000000000000142e+01
-1.387673080865997122e+02 9.411175412898652171e-02 6.982377933976857687e-02 1.263728289311863984e-01 1.171852483315349025e-01 -6.383124716357553297e-01 4.479999999999999716e+01
-1.375942875587404899e+02 9.003618258534946961e-02 4.664552403769948313e-02 1.466766260891239071e-01 1.014017706319469969e-01 -4.780030791902007969e-01 4.800000000000000000e+01
-1.364212670308812392e+02 8.548679778614615143e-02 2.590215200481853913e-02 1.641904052590752450e-01 8.932476741761025130e-02 -2.942030849164027906e-01 5.120000000000000284e+01
-1.352482465030220169e+02 8.053141453083879908e-02 7.495301165791606358e-03 1.743182763708301941e-01 8.087946751743430029e-02 -9.280564749735573105e-02 5.439999999999999858e+01
-1.340752259751627662e+02 7.524547132103591440e-02 -8.672878620374495015e-03 1.738242858032062743e-01 7.574364513204119576e-02 1.147547482116444278e-01 5.760000000000000142e+01
-1.329022054473035155e+02 6.969361040175023336e-02 -2.270910484407417593e-02 1.631104197594152871e-01 7.330008713262285702e-02 3.149932634779081253e-01 6.079999999999999716e+01
-1.317291849194442932e+02 6.394549484788639160e-02 -3.471954214390306909e-02 1.459374119487747423e-01 7.276312883613050841e-02 4.974184895827065689e-01 6.400000000000000000e+01
-1.305561643915850425e+02 5.806105508775201429e-02 -4.481714381050212054e-02 1.268453765654356802e-01 7.334618256756245125e-02 6.573684234750338806e-01 6.720000000000000284e+01
-1.293831438637257918e+02 5.210328248618514846e-02 -5.311390224702575158e-02 1.090411736610375770e-01 7.440321671636121459e-02 7.950029507332890821e-01 7.040000000000000568e+01
-1.282101233358665979e+02 4.612617037239626766e-02 -5.972672674014126160e-02 9.398526933921240445e-02 7.546459752966838685e-02 9.131834936475556885e-01 7.359999999999999432e+01
-1.270371028080073330e+02 4.018527987948333768e-02 -6.477094219391132945e-02 8.195417476424535219e-02 7.622421971840323551e-02 1.015496251235839864e+00 7.679999999999999716e+01
-1.258640822801480965e+02 3.432771356875456703e-02 -6.836507913499606515e-02 7.268325756496177292e-02 7.649951610299722538e-02 1.105451352332002424e+00 8.000000000000000000e+01
-1.246910617522888742e+02 2.860103045238897301e-02 -7.062533064045264930e-02 6.574634069184354113e-02 7.619682585916386086e-02 1.186014157546600778e+00 8.320000000000000284e+01
-1.235180412244296093e+02 2.304478301593465214e-02 -7.166952126459986971e-02 6.074005889867226116e-02 7.528334678100094546e-02 1.259694966858321719e+00 8.640000000000000568e+01
-1.223450206965704012e+02 1.769815164791191733e-02 -7.161233650474026213e-02 5.733631191579711961e-02 7.376687136798362743e-02 1.328512829449643995e+00 8.959999999999999432e+01
