# r=4.000000e+02
# M=2.728000e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
3.977418405239415922e+00 -3.665750159505196115e-02 -1.012306511951041159e+02 4.160878252793837199e-07 2.896672568674946174e-05 1.471999999999999886e+02
3.977417669839101055e+00 -3.665751697976403489e-02 -1.000576306672448652e+02 4.265801988011338489e-07 3.033493503054257383e-05 1.504000000000000057e+02
3.977416920202329287e+00 -3.665753300179947632e-02 -9.888461013938565713e+01 4.375072268970990007e-07 3.172963124630343886e-05 1.535999999999999943e+02
3.977416155219364757e+00 -3.665754971898885911e-02 -9.771158961152639222e+01 4.489083501976852719e-07 3.315287899120664762e-05 1.568000000000000114e+02
3.977415373656780329e+00 -3.665756719526604840e-02 -9.653856908366716993e+01 4.608271712608692461e-07 3.460697305311036373e-05 1.600000000000000000e+02
3.977414574157977167e+00 -3.665758550072811123e-02 -9.536554855580793344e+01 4.733114963064397598e-07 3.609443737897935158e-05 1.631999999999999886e+02
3.977413755244044058e+00 -3.665760471163598266e-02 -9.419252802794868273e+01 4.864133353465428842e-07 3.761802347542644149e-05 1.664000000000000057e+02
3.977412915314519015e+00 -3.665762491036039794e-02 -9.301950750008946045e+01 5.001888654926438314e-07 3.918070899689716965e-05 1.695999999999999943e+02
3.977412052648547469e+00 -3.665764618525687440e-02 -9.184648697223020974e+01 5.146983447378440986e-07 4.078569558747132642e-05 1.728000000000000114e+02
3.977411165406171012e+00 -3.665766863046646118e-02 -9.067346644437097325e+01 5.300059777403352615e-07 4.243640647926507416e-05 1.760000000000000000e+02
3.977410251630080218e+00 -3.665769234564486556e-02 -8.950044591651175097e+01 5.461797294939202714e-07 4.413648324194964896e-05 1.791999999999999886e+02
3.977409309247216918e+00 -3.665771743564011365e-02 -8.832742538865250026e+01 5.632911060580166734e-07 4.588978278925155772e-05 1.824000000000000057e+02
3.977408336070442640e+00 -3.665774401012596162e-02 -8.715440486079326377e+01 5.814149053890500891e-07 4.770037428461504776e-05 1.855999999999999943e+02
3.977407329800339397e+00 -3.665777218318515968e-02 -8.598138433293402727e+01 6.006289319060845232e-07 4.957253578637982073e-05 1.888000000000000114e+02
3.977406288027831138e+00 -3.665780207280542463e-02 -8.480836380507479078e+01 6.210136529155198356e-07 5.151074937118698348e-05 1.920000000000000000e+02
3.977405208237139611e+00 -3.665783380030386562e-02 -8.363534327721555428e+01 6.426518069399291556e-07 5.351969563339065324e-05 1.951999999999999886e+02
3.977404087808641187e+00 -3.665786748971224668e-02 -8.246232274935631779e+01 6.656279833800529906e-07 5.560424837288926352e-05 1.984000000000000057e+02
3.977402924021101516e+00 -3.665790326714344488e-02 -8.128930222149708129e+01 6.900281913048344997e-07 5.776947043569847541e-05 2.015999999999999943e+02
3.977401714053915516e+00 -3.665794126012724558e-02 -8.011628169363783059e+01 7.159394063353526322e-07 6.002060954564641775e-05 2.048000000000000114e+02
3.977400454989748813e+00 -3.665798159690514951e-02 -7.894326116577860830e+01 7.434490891696284401e-07 6.236309339177159659e-05 2.080000000000000000e+02
3.977399143817987870e+00 -3.665802440567568488e-02 -7.777024063791937181e+01 7.726446702912525586e-07 6.480252320764775999e-05 2.111999999999999886e+02
3.977397777438581805e+00 -3.665806981379153562e-02 -7.659722011006012110e+01 8.036130053811099569e-07 6.734466662694090183e-05 2.144000000000000057e+02
3.977396352666064949e+00 -3.665811794692667991e-02 -7.542419958220089882e+01 8.364398035337066896e-07 6.999545019583622730e-05 2.175999999999999943e+02
3.977394866233263215e+00 -3.665816892823057366e-02 -7.425117905434164811e+01 8.712090530435867635e-07 7.276095247763899785e-05 2.208000000000000114e+02
3.977393314794855694e+00 -3.665822287750768183e-02 -7.307815852648241162e+01 9.080024598814027426e-07 7.564739742915241598e-05 2.240000000000000000e+02
3.977391694930958899e+00 -3.665827991039179862e-02 -7.190513799862318933e+01 9.468988866925103919e-07 7.866114772944868055e-05 2.271999999999999886e+02
3.977390003150909070e+00 -3.665834013751648884e-02 -7.073211747076393863e+01 9.879737857785903466e-07 8.180869774520212461e-05 2.304000000000000057e+02
3.977388235896864632e+00 -3.665840366373108311e-02 -6.955909694290470213e+01 1.031298664154940115e-06 8.509666682626071269e-05 2.335999999999999943e+02
3.977386389547814538e+00 -3.665847058737398828e-02 -6.838607641504546564e+01 1.076940588658535793e-06 8.853179184770060609e-05 2.368000000000000114e+02
3.977384460425322121e+00 -3.665854099949782119e-02 -6.721305588718622914e+01 1.124961657345836100e-06 9.212091652890209504e-05 2.400000000000000000e+02
3.977382444803136963e+00 -3.665861498286010489e-02 -6.604003535932699265e+01 1.175418310341638811e-06 9.587097354224527522e-05 2.431999999999999886e+02
3.977380338918120817e+00 -3.665869261074467672e-02 -6.486701483146775615e+01 1.228360527631868184e-06 9.978896419029958313e-05 2.464000000000000057e+02
3.977378138959510867e+00 -3.665877394672335809e-02 -6.369399430360851966e+01 1.283831664789572326e-06 1.038819783848160522e-04 2.495999999999999943e+02
3.977375840976895116e+00 -3.665885904814747409e-02 -6.252097377574927606e+01 1.341870836273552572e-06 1.081573658494236874e-04 2.528000000000000114e+02
3.977373440668453330e+00 -3.665894797571984942e-02 -6.134795324789003956e+01 1.402519440555338009e-06 1.126231301043503574e-04 2.560000000000000000e+02
3.977370933263015385e+00 -3.665904080188889247e-02 -6.017493272003081017e+01 1.465826887901950779e-06 1.172881478920820096e-04 2.591999999999999886e+02
3.977368314170550700e+00 -3.665913759032018299e-02 -5.900191219217157368e+01 1.531836598054594746e-06 1.221609589456812536e-04 2.623999999999999773e+02
3.977365580923394539e+00 -3.665923831608873529e-02 -5.782889166431232297e+01 1.600531572275435352e-06 1.272461543467997397e-04 2.656000000000000227e+02
3.977362735215379086e+00 -3.665934275684194776e-02 -5.665587113645308648e+01 1.671760165848840567e-06 1.325405827272199406e-04 2.688000000000000114e+02
