# r=4.000000e+02
# M=2.728000e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -3.564716653549731280e-09 -3.740834064951437559e-08 1.385984750033687762e-03 3.757780135891673843e-08 1.665801481075475987e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -3.736913041665061189e-09 -3.921092246640797990e-08 1.385984750033687762e-03 3.938858920737863398e-08 1.665812215032984822e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -3.919253207704075543e-09 -3.975943801841539578e-08 2.966011882537988170e-03 3.995213958283478882e-08 1.669053058201654727e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -4.127346140619283645e-09 -4.033399443864485972e-08 3.547371990478714789e-03 4.054461855217187198e-08 1.672770600681167785e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -4.374163265353178500e-09 -4.088599128020801492e-08 2.999074690422772783e-03 4.111930917752888272e-08 1.677375338531223559e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -4.545591918026572969e-09 -4.153346302150391405e-08 2.534070291619826189e-03 4.178146666219199975e-08 1.679806553034065786e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -4.762327786093202302e-09 -4.214398045683760194e-08 4.273594638229048955e-03 4.241220171941684989e-08 1.683320371473440158e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -5.091412265633917676e-09 -4.256973408005886544e-08 4.855131997432459920e-03 4.287312373160570189e-08 1.689832581510849474e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -5.342412674257263346e-09 -4.289284776932633645e-08 2.962520229881523710e-03 4.322427284460280094e-08 1.694710710470349158e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -5.491963091106638246e-09 -4.336081484455581319e-08 4.502725762881793284e-03 4.370722963741729261e-08 1.696782775598548065e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -5.884194718876563473e-09 -4.349174529669349752e-08 7.441402658894512474e-03 4.388798988837509888e-08 1.705274289972711133e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -6.281381899935777968e-09 -4.348894229159397851e-08 6.042639131806397217e-03 4.394023054348294994e-08 1.714240611748447218e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -6.547610973491566459e-09 -4.372098481057149396e-08 6.812498899308526250e-03 4.420854806783875346e-08 1.719450569460819978e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -6.947905322327651177e-09 -4.321071207113073304e-08 8.101885448274972340e-03 4.376572889901631439e-08 1.730223013858261938e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -7.203468158183100489e-09 -4.256099132336042616e-08 9.722131821819909175e-03 4.316628239648533098e-08 1.738457925351201139e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -7.716645181793407243e-09 -4.187463634980626948e-08 1.433400327733391245e-02 4.257971092304657894e-08 1.753031534261358493e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -8.212965516830016336e-09 -4.024914957226384658e-08 1.457718181489268787e-02 4.107854481199529738e-08 1.772086085532629696e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -8.413284884500149512e-09 -3.826343372228103378e-08 1.997872863188734222e-02 3.917746447598609137e-08 1.787230201275769481e+00 5.439999999999999858e+01
-1.340752259751627662e+02 -9.054736362113137119e-09 -3.573529085325844933e-08 3.157029909434710957e-02 3.686460718567811555e-08 1.818957003144095586e+00 5.760000000000000142e+01
-1.329022054473035155e+02 -9.657305000621162677e-09 -3.230338894523276512e-08 4.190387381195326277e-02 3.371605666773634844e-08 1.861295419092419579e+00 6.079999999999999716e+01
-1.317291849194442932e+02 -1.011908386166481389e-08 -2.802821810575245845e-08 6.008847751841539520e-02 2.979894072585525750e-08 1.917265211500584154e+00 6.400000000000000000e+01
-1.305561643915850425e+02 -1.060201400911555921e-08 -2.302781445734421973e-08 9.357218461545335764e-02 2.535119207712635157e-08 2.002265454326238814e+00 6.720000000000000284e+01
-1.293831438637257918e+02 -1.127634648712303866e-08 -1.774880592911209059e-08 1.527390279495292325e-01 2.102798378368541046e-08 2.136789398281706553e+00 7.040000000000000568e+01
-1.282101233358665979e+02 -1.190124971322977983e-08 -1.179690618852069143e-08 2.546886515772205928e-01 1.675728917090737822e-08 2.360597484706365545e+00 7.359999999999999432e+01
-1.270371028080073330e+02 -1.242897581310138671e-08 -5.362069949724470540e-09 3.463255096082946682e-01 1.353629321152572660e-08 2.734299431307443129e+00 7.679999999999999716e+01
