# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -5.438627453351553044e-03 2.612549634449464961e-02 1.284704229881951203e-02 2.668558089722898596e-02 -1.776038212367841318e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -4.847197668509353047e-03 2.504660043102713285e-02 1.284704229881951203e-02 2.551132137677566622e-02 -1.761960334133921391e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -4.249135299784148265e-03 2.401808246914093059e-02 1.380693288949233315e-02 2.439105238177161072e-02 -1.745898523690258886e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -3.685576766908498381e-03 2.301757519689050582e-02 1.436874931772281171e-02 2.331077527773979530e-02 -1.729568702721622664e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -3.139316580644416297e-03 2.205469128004997406e-02 1.507551858357901627e-02 2.227699970938234672e-02 -1.712188847871554342e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -2.620103816798613049e-03 2.112393091445729024e-02 1.571780855933903667e-02 2.128580281054879772e-02 -1.694200917188299460e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -2.121983535748285174e-03 2.022860316498219582e-02 1.638830360060862176e-02 2.033959685274795356e-02 -1.675314223685421711e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -1.649257146052784560e-03 1.936612783922532152e-02 1.702163036033890048e-02 1.943622794214515739e-02 -1.655753284107692735e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -1.198936240842664010e-03 1.853803408757732918e-02 1.764405737074257671e-02 1.857676387161620243e-02 -1.635380780024802583e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -7.734194949892465474e-04 1.774270163043021459e-02 1.822053733945324869e-02 1.775955063794409233e-02 -1.614359601126478472e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -3.708928651810905605e-04 1.698087693983859822e-02 1.875620510388484666e-02 1.698492694018388649e-02 -1.592634651369193799e+00 3.200000000000000000e+01
-1.422863696701774359e+02 7.143322015826305833e-06 1.625133560068871275e-02 1.922526400159578833e-02 1.625133717062265601e-02 -1.570356773903288206e+00 3.520000000000000284e+01
