# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -1.028299927193502411e-02 -1.999664250691218503e-01 9.494763425252586864e-04 2.002306450794966164e-01 1.622174699624831185e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -1.013560446798333556e-02 -1.939199120021379286e-01 9.494763425252586864e-04 1.941846099690918703e-01 1.623015770697523674e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -1.008673313432883849e-02 -1.879843954848940402e-01 1.112744202208581189e-03 1.882548143637878535e-01 1.624402210105828859e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -9.997293821350252546e-03 -1.821498397320993612e-01 1.109642654084507137e-03 1.824239841637603776e-01 1.625626314280417706e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -9.926816235206496405e-03 -1.764189540335147632e-01 1.165492844727588620e-03 1.766980164655136964e-01 1.627005477329487526e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -9.842316872533767719e-03 -1.707906862714080876e-01 1.197004864850112092e-03 1.710740474720754134e-01 1.628360608344294747e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -9.764870769046680651e-03 -1.652654200951832464e-01 1.245157056313408788e-03 1.655536522713213221e-01 1.629813699886320633e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -9.679977500441746402e-03 -1.598428471021459407e-01 1.286854861924396909e-03 1.601356853862657137e-01 1.631281797919223564e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -9.598361998343451010e-03 -1.545229516681907167e-01 1.336842977278621071e-03 1.548207710396161674e-01 1.632832714225146198e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -9.511917927025444197e-03 -1.493055305395908638e-01 1.385517955358845157e-03 1.496082151232317192e-01 1.634418086428968131e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -9.427139448430940996e-03 -1.441904278743330325e-01 1.439977106618891287e-03 1.444982714386694733e-01 1.636083196231853165e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -9.338866628150208418e-03 -1.391774280990427937e-01 1.495374867669042353e-03 1.394903972399627323e-01 1.637796331840390751e+00 3.520000000000000284e+01
