# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -1.497924287176759890e-03 6.506310891386574320e-03 -1.389089474807322054e-02 6.676515452351591134e-03 -1.797079693322415794e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -1.469456535621429865e-03 5.962416567430850467e-03 -1.389089474807322054e-02 6.140823546858712075e-03 -1.812434032540947815e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -1.443519959949181222e-03 5.451070095056552607e-03 -1.479983365754804214e-02 5.638964005559136267e-03 -1.829668302702059712e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -1.406284818294086620e-03 4.958410265803019253e-03 -1.529502979385117915e-02 5.153976072333398169e-03 -1.847155049919359637e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -1.363377340944860704e-03 4.490727289209109699e-03 -1.587345200521899161e-02 4.693125755810223683e-03 -1.865551070546871859e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -1.311742117012315708e-03 4.044843619114943563e-03 -1.633337937399067380e-02 4.252226156337269095e-03 -1.884394820019580141e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -1.253426096958048771e-03 3.623010234686313644e-03 -1.674017414541876039e-02 3.833703188977632091e-03 -1.903869849136879289e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -1.187281440771757518e-03 3.223801230642343862e-03 -1.701309813609564250e-02 3.435481275497241551e-03 -1.923667955844609478e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -1.114543336049303142e-03 2.848283900383456659e-03 -1.714060299984648122e-02 3.058582682406265404e-03 -1.943783275849127135e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -1.034816545247731114e-03 2.495549443456078834e-03 -1.704123544429566803e-02 2.701594400914466426e-03 -1.963880514202020588e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -9.491051551442691771e-04 2.166103023314551197e-03 -1.663900824868093029e-02 2.364910760078245584e-03 -1.983762713841609626e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -8.574434169920535677e-04 1.859200137013886003e-03 -1.578338429533697115e-02 2.047396972454404267e-03 -2.002916310679864420e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -7.607996343279591284e-04 1.574995654609994506e-03 -1.424704287475770000e-02 1.749121892731870815e-03 -2.020791181396652370e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -6.595031982712815316e-04 1.312776207546806654e-03 -1.160925306663745243e-02 1.469124174340285518e-03 -2.036340458186627345e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -5.545550471816420354e-04 1.072441296969782682e-03 -7.065449083448316521e-03 1.207336587617911404e-03 -2.048026965717209436e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -4.465111024203137881e-04 8.532466179132906260e-04 1.137970572819400287e-03 9.630171107332792481e-04 -2.052916291813485561e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -3.364285345157890504e-04 6.548907645004238900e-04 1.746305187371520462e-02 7.362513648641957637e-04 -2.045357240033175650e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -2.250313115155510603e-04 4.765721351392086108e-04 5.615608581155149409e-02 5.270294974226329620e-04 -2.011947255159608261e+00 5.439999999999999858e+01
-1.340752259751627662e+02 -1.134333428269694593e-04 3.178215617226939449e-04 1.820915163078271337e-01 3.374576541741984722e-04 -1.913612757190826130e+00 5.760000000000000142e+01
-1.329022054473035155e+02 -2.481289674325857269e-06 1.777725928545581481e-04 6.102022150861080574e-01 1.777899085119299136e-04 -1.584753082003415692e+00 6.079999999999999716e+01
-1.317291849194442932e+02 1.066783971523901415e-04 5.581664099928536409e-05 7.717897471003937193e-01 1.203984129108277845e-04 -4.820533083084616033e-01 6.400000000000000000e+01
-1.305561643915850425e+02 2.131192657059091829e-04 -4.897905308774670253e-05 3.803855116819011561e-01 2.186750307108661039e-04 2.258973510766884574e-01 6.720000000000000284e+01
-1.293831438637257918e+02 3.156879933986721752e-04 -1.373380040522056793e-04 1.042443503931941851e-01 3.442682624540399508e-04 4.103467190977587720e-01 7.040000000000000568e+01
-1.282101233358665979e+02 4.134355052302651507e-04 -2.102498613015439200e-04 3.332278219028567828e-02 4.638253131970300632e-04 4.704588769258240544e-01 7.359999999999999432e+01
-1.270371028080073330e+02 5.052374057053552305e-04 -2.685300719905865121e-04 7.444829045970023824e-03 5.721653918991844584e-04 4.885233342069332796e-01 7.679999999999999716e+01
