# r=4.000000e+02
# M=2.728000e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 5.376388973472048010e-17 -2.421863340779771556e-02 -5.678790770957675941e-16 2.421863340779771556e-02 1.570796326794894338e+00 0.000000000000000000e+00
-1.540165749487698008e+02 8.642657713602896445e-17 -2.183437110681511056e-02 -5.678790770957675941e-16 2.183437110681511056e-02 1.570796326794892561e+00 3.200000000000000178e+00
-1.528435544209105785e+02 7.056610694262019954e-17 -1.949534888509248109e-02 -1.041111641342240688e-15 1.949534888509248109e-02 1.570796326794893005e+00 6.400000000000000355e+00
-1.516705338930513278e+02 1.121284335137360314e-16 -1.732611589230778973e-02 -1.230404667040829886e-15 1.732611589230778973e-02 1.570796326794890119e+00 9.599999999999999645e+00
-1.504975133651920771e+02 1.003648249704795177e-16 -1.527113113989298811e-02 6.625255899450621931e-16 1.527113113989298811e-02 1.570796326794890119e+00 1.280000000000000071e+01
-1.493244928373328548e+02 6.556098195812311922e-17 -1.336028278944402514e-02 -1.041111641342240885e-15 1.336028278944402514e-02 1.570796326794891673e+00 1.600000000000000000e+01
-1.481514723094736041e+02 1.041785859809037008e-16 -1.157232856135911522e-02 -4.732325642464731923e-16 1.157232856135911522e-02 1.570796326794887676e+00 1.919999999999999929e+01
-1.469784517816143818e+02 6.007743105172302959e-17 -9.919332739997226145e-03 1.608990718438007690e-15 9.919332739997226145e-03 1.570796326794890563e+00 2.239999999999999858e+01
-1.458054312537551311e+02 4.367408381048970088e-17 -8.389014973194467914e-03 -2.460809334081658588e-15 8.389014973194467914e-03 1.570796326794891451e+00 2.560000000000000142e+01
-1.446324107258959089e+02 8.274442329609262189e-17 -6.986725367374143313e-03 -5.678790770957677913e-16 6.986725367374143313e-03 1.570796326794884790e+00 2.880000000000000071e+01
-1.434593901980366581e+02 3.646233334878110714e-17 -5.703501584485458006e-03 0.000000000000000000e+00 5.703501584485458006e-03 1.570796326794890119e+00 3.200000000000000000e+01
-1.422863696701774359e+02 5.386642295894507901e-17 -4.541236109817313807e-03 -1.230404667040830083e-15 4.541236109817313807e-03 1.570796326794884790e+00 3.520000000000000284e+01
-1.411133491423181852e+02 3.306023316794186152e-17 -3.492359803707682873e-03 5.678790770957677913e-16 3.492359803707682873e-03 1.570796326794887232e+00 3.839999999999999858e+01
-1.399403286144589345e+02 2.681722573039431998e-17 -2.556630338839587738e-03 3.785860513971784947e-16 2.556630338839587738e-03 1.570796326794886122e+00 4.160000000000000142e+01
-1.387673080865997122e+02 1.465842624999204401e-17 -1.727069889385699549e-03 -3.785860513971785538e-15 1.727069889385699549e-03 1.570796326794888120e+00 4.479999999999999716e+01
-1.375942875587404899e+02 1.943572723277104818e-17 -1.001967616403781408e-03 -1.684707928717442265e-14 1.001967616403781408e-03 1.570796326794877240e+00 4.800000000000000000e+01
-1.364212670308812392e+02 1.799320814858846562e-17 -3.745710357978465415e-04 1.339103868592526947e+00 3.745710357978465415e-04 1.570796326794848596e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -4.844510177308028429e-17 1.579007103316614814e-04 1.339103868592684154e+00 1.579007103316614814e-04 4.712388980384382364e+00 5.439999999999999858e+01
-1.340752259751627662e+02 1.963596595667101107e-17 6.021354612182914850e-04 1.370481506057786070e-13 6.021354612182914850e-04 4.712388980384722537e+00 5.760000000000000142e+01
-1.329022054473035155e+02 1.355521326969158308e-17 9.617098395111966071e-04 -1.627920021007867616e-14 9.617098395111966071e-04 4.712388980384703885e+00 6.079999999999999716e+01
-1.317291849194442932e+02 -6.518289098085200216e-18 1.243304849485151256e-03 -3.028688411177424407e-15 1.243304849485151256e-03 4.712388980384684345e+00 6.400000000000000000e+01
-1.305561643915850425e+02 9.932048147732778618e-18 1.451079280240212847e-03 6.057376822354848815e-15 1.451079280240212847e-03 4.712388980384696779e+00 6.720000000000000284e+01
-1.293831438637257918e+02 1.484581297019722616e-17 1.591698492538981286e-03 -2.650102359780252717e-15 1.591698492538981286e-03 4.712388980384698556e+00 7.040000000000000568e+01
-1.282101233358665979e+02 1.547452506902202941e-18 1.669726477928480928e-03 -7.193134976546399386e-15 1.669726477928480928e-03 4.712388980384690562e+00 7.359999999999999432e+01
-1.270371028080073330e+02 -1.326284970625897090e-17 1.691773161976975384e-03 -3.785860513971780509e-16 1.691773161976975384e-03 4.712388980384681680e+00 7.679999999999999716e+01
-1.258640822801480965e+02 -3.108397408107634278e-19 1.662645231305662913e-03 9.086065233532273617e-15 1.662645231305662913e-03 4.712388980384689674e+00 8.000000000000000000e+01
-1.246910617522888742e+02 2.144459225092854804e-17 1.588827962745112052e-03 1.930788862125608124e-14 1.588827962745112052e-03 4.712388980384702997e+00 8.320000000000000284e+01
-1.235180412244296093e+02 6.688142623533310726e-17 1.475223872846805149e-03 1.855071651846176626e-14 1.475223872846805149e-03 4.712388980384734971e+00 8.640000000000000568e+01
-1.223450206965704012e+02 7.589806974953026604e-17 1.328114436451052630e-03 -5.300204719560505433e-15 1.328114436451052630e-03 4.712388980384746517e+00 8.959999999999999432e+01
-1.211720001687111505e+02 3.814210953532541995e-17 1.152361375890375650e-03 4.164446565368958807e-15 1.152361375890375650e-03 4.712388980384722537e+00 9.279999999999999716e+01
-1.199989796408519140e+02 6.372320933589575033e-17 9.539527480574373818e-04 9.464651284929451619e-15 9.539527480574373818e-04 4.712388980384756287e+00 9.600000000000000000e+01
-1.188259591129926775e+02 4.048315073696111165e-17 7.375738909378019891e-04 2.915112595758270928e-14 7.375738909378019891e-04 4.712388980384744741e+00 9.920000000000000284e+01
-1.176529385851334268e+02 6.879576148834387274e-17 5.088274900372664064e-04 7.458145212524425249e-14 5.088274900372664064e-04 4.712388980384824677e+00 1.024000000000000057e+02
-1.164799180572742188e+02 6.259725501337333486e-17 2.721018704171660396e-04 5.065481367694253716e-13 2.721018704171660396e-04 4.712388980384919712e+00 1.055999999999999943e+02
-1.153068975294149539e+02 4.304517145518456892e-17 3.252399292684378688e-05 1.339103868592439017e+00 3.252399292684378688e-05 4.712388980386013060e+00 1.087999999999999972e+02
-1.141338770015557316e+02 5.368226801742109944e-17 -2.059228562180412760e-04 1.339103868592037117e+00 2.059228562180412760e-04 7.853981633974221666e+00 1.120000000000000000e+02
-1.129608564736964951e+02 4.811539137610205709e-17 -4.386753600059134506e-04 9.048206628392555817e-14 4.386753600059134506e-04 7.853981633974372656e+00 1.152000000000000028e+02
-1.117878359458372444e+02 3.253649918910507202e-17 -6.622688964023216562e-04 2.801536780339124154e-14 6.622688964023216562e-04 7.853981633974433940e+00 1.184000000000000057e+02
-1.106148154179780221e+02 3.879752554628126376e-17 -8.727993063982177275e-04 -2.650102359780252717e-15 8.727993063982177275e-04 7.853981633974438381e+00 1.215999999999999943e+02
-1.094417948901187714e+02 5.835401289327405049e-17 -1.067408421821671501e-03 8.328893130737917614e-15 1.067408421821671501e-03 7.853981633974427723e+00 1.247999999999999972e+02
-1.082687743622595349e+02 3.068145420936510379e-17 -1.242892780419826851e-03 1.438626995309279877e-14 1.242892780419826851e-03 7.853981633974457921e+00 1.280000000000000000e+02
-1.070957538344003126e+02 2.911461483744997301e-17 -1.397043558724345809e-03 -8.328893130737917614e-15 1.397043558724345809e-03 7.853981633974461474e+00 1.311999999999999886e+02
-1.059227333065410477e+02 6.802564377659383324e-17 -1.527401259255064528e-03 2.271516308383068404e-15 1.527401259255064528e-03 7.853981633974438381e+00 1.344000000000000057e+02
-1.047497127786818396e+02 2.695435111564667251e-17 -1.632482089246927977e-03 1.325051179890123321e-14 1.632482089246927977e-03 7.853981633974466803e+00 1.375999999999999943e+02
-1.035766922508225889e+02 2.329549136708379157e-17 -1.710641192933823156e-03 7.571721027943561019e-16 1.710641192933823156e-03 7.853981633974469467e+00 1.408000000000000114e+02
-1.024036717229633524e+02 2.441236093235954093e-17 -1.761163786466400085e-03 -1.135758154191539330e-15 1.761163786466400085e-03 7.853981633974468579e+00 1.440000000000000000e+02
-1.012306511951041159e+02 2.840416013599335202e-17 -1.783219017637736490e-03 -4.543032616766136808e-15 1.783219017637736490e-03 7.853981633974466803e+00 1.471999999999999886e+02
