# r=4.000000e+02
# M=2.728000e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -6.098018912679915614e-08 3.587294259104268672e-07 4.780514431102483169e-02 3.638755068426076799e-07 -1.739176152545246934e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -2.474184947798559795e-08 3.631216512905016938e-07 4.780514431102483169e-02 3.639635871231242062e-07 -1.638827706816326613e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -2.068566565431568998e-08 3.675078521101845110e-07 8.905862343764716846e-03 3.680895517753843576e-07 -1.627023321317036197e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -1.754296601935243578e-08 3.718872736184121748e-07 3.247092824154038451e-03 3.723008191450723634e-07 -1.617934188121277428e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -1.830237446749750547e-08 3.762243342115661341e-07 -4.681803973295972903e-04 3.766692535422618512e-07 -1.619405508239841973e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -1.836883075870479089e-08 3.805144269630180409e-07 -7.355049429903783665e-06 3.809575344712792779e-07 -1.619032558554895251e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -1.872956561738763770e-08 3.848688564055651560e-07 -2.340086805258023792e-03 3.853243221743776339e-07 -1.619422763487771366e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -2.092826553203115056e-08 3.891608985056853403e-07 -4.829759418944974724e-04 3.897232315681623769e-07 -1.624522498273975657e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -1.959116142491261378e-08 3.933918616673768672e-07 2.837408067183801522e-03 3.938793856399463318e-07 -1.620555844876380158e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -1.873335294699004417e-08 3.976995254603504344e-07 2.978818685705820514e-04 3.981404916157415728e-07 -1.617865822456535652e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -1.973078273364697267e-08 4.018483207366385168e-07 1.117274015400762828e-03 4.023324206003521978e-07 -1.619857001782959438e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -1.805447356972554311e-08 4.059226580107190214e-07 4.287149298327791805e-03 4.063239696379811389e-07 -1.615244651745918025e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -1.600720467864308306e-08 4.102030585544014696e-07 3.101655114701441958e-03 4.105152614081597274e-07 -1.609799173517087789e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -1.540639261551091550e-08 4.142745693523325862e-07 7.447201691986487290e-04 4.145609433430552859e-07 -1.607968041506149248e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -1.558960688734350605e-08 4.182552574202447969e-07 1.554701771622272175e-04 4.185456918934624613e-07 -1.608052029425126150e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -1.555120208954018335e-08 4.223161140008273108e-07 7.587966928531893760e-04 4.226023426712037415e-07 -1.607603302087586838e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -1.512738643947484338e-08 4.262385370800653896e-07 1.487088255409382137e-03 4.265068912838847041e-07 -1.606271861230749165e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -1.434084054544537526e-08 4.302612781107948938e-07 2.739320574897629451e-03 4.305002057480167010e-07 -1.604114531986919667e+00 5.439999999999999858e+01
-1.340752259751627662e+02 -1.261603076628275355e-08 4.341799159897679483e-07 1.957481386357254848e-03 4.343631702632920831e-07 -1.599845302697264993e+00 5.760000000000000142e+01
-1.329022054473035155e+02 -1.258859248541458092e-08 4.381112970146279845e-07 1.153119177012893251e-03 4.382921186065331845e-07 -1.599522200288720830e+00 6.079999999999999716e+01
-1.317291849194442932e+02 -1.165212077103458953e-08 4.422089647794155126e-07 1.640247705161403721e-03 4.423624537070761611e-07 -1.597140037765856446e+00 6.400000000000000000e+01
-1.305561643915850425e+02 -1.110047276052286678e-08 4.461081485733640344e-07 1.800811883105379440e-03 4.462462332827715825e-07 -1.595674111830864161e+00 6.720000000000000284e+01
-1.293831438637257918e+02 -9.962180204011910017e-09 4.503180955095598770e-07 3.565269589457067175e-03 4.504282763967802860e-07 -1.592915259154465524e+00 7.040000000000000568e+01
-1.282101233358665979e+02 -7.509880739786524651e-09 4.547304157237174102e-07 3.335868720912161210e-03 4.547924244014962274e-07 -1.587309842999293341e+00 7.359999999999999432e+01
-1.270371028080073330e+02 -6.558669201710964171e-09 4.588464709564537377e-07 6.417312398254926753e-04 4.588933427833630704e-07 -1.585089174178718530e+00 7.679999999999999716e+01
-1.258640822801480965e+02 -6.962219522742491581e-09 4.638660839103132065e-07 3.750523148129402697e-04 4.639183293457724689e-07 -1.585804315163925615e+00 8.000000000000000000e+01
