# r=4.000000e+02
# M=2.728000e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -6.233905939161649073e-22 3.909229492097625871e-07 0.000000000000000000e+00 3.909229492097625871e-07 -1.570796326794898112e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -1.642601865296666787e-21 3.931755468785185587e-07 0.000000000000000000e+00 3.931755468785185587e-07 -1.570796326794900777e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -5.655949973521648436e-22 3.953629704956030422e-07 7.571721027943567921e-16 3.953629704956030422e-07 -1.570796326794898112e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -9.717981467693581862e-22 3.974908214272445384e-07 -6.625255899450621931e-16 3.974908214272445384e-07 -1.570796326794899000e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -1.254350753368011132e-21 3.996296069762620501e-07 5.678790770957675941e-16 3.996296069762620501e-07 -1.570796326794899667e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -3.823150481573863954e-22 4.018037948671290254e-07 4.732325642464731923e-16 4.018037948671290254e-07 -1.570796326794897668e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -8.257466253449374325e-22 4.039866986263512640e-07 -7.571721027943569893e-16 4.039866986263512640e-07 -1.570796326794898556e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -1.118339131272274223e-21 4.061117340126357911e-07 7.571721027943565949e-16 4.061117340126357911e-07 -1.570796326794899445e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -1.107939356870943442e-22 4.082582915361543579e-07 1.325051179890123795e-15 4.082582915361543579e-07 -1.570796326794896780e+00 2.560000000000000142e+01
-1.446324107258959089e+02 7.756991286303164954e-23 4.103450933201511432e-07 -1.419697692739419281e-15 4.103450933201511432e-07 -1.570796326794896336e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -1.398065068773086995e-21 4.123828222714363769e-07 -1.041111641342240293e-15 4.123828222714363769e-07 -1.570796326794900111e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -9.070247125518823473e-22 4.144829160342881381e-07 9.464651284929463846e-16 4.144829160342881381e-07 -1.570796326794898778e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -5.682312681664825176e-22 4.164627641598193205e-07 2.839395385478838957e-16 4.164627641598193205e-07 -1.570796326794897890e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -6.007856802887228976e-22 4.184196036561108207e-07 1.892930256985892473e-16 4.184196036561108207e-07 -1.570796326794898112e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -3.450338013432888766e-22 4.203862809440190929e-07 4.732325642464731923e-16 4.203862809440190929e-07 -1.570796326794897446e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -1.701700920906892039e-22 4.223004726388313302e-07 -7.571721027943561019e-16 4.223004726388313302e-07 -1.570796326794897002e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -1.127028912420484807e-21 4.242137345676311926e-07 -9.464651284929462367e-17 4.242137345676311926e-07 -1.570796326794899223e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -2.258590035725804854e-22 4.259465624315584643e-07 0.000000000000000000e+00 4.259465624315584643e-07 -1.570796326794897224e+00 5.439999999999999858e+01
