# r=4.000000e+02
# M=2.728000e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-1.551895954766290515e+02 -7.665589138312501600e-08 -7.206811874699101351e-23 -4.164446565368962436e-14 7.665589138312501600e-08 3.141592653589792228e+00 0.000000000000000000e+00
-1.540165749487698008e+02 -1.608888365303386966e-08 -1.108868060342442642e-22 -4.164446565368962436e-14 1.608888365303386966e-08 3.141592653589786455e+00 3.200000000000000178e+00
-1.528435544209105785e+02 -9.337294323440219698e-09 -9.218936717370760566e-22 5.035194483582472786e-14 9.337294323440219698e-09 3.141592653589694528e+00 6.400000000000000355e+00
-1.516705338930513278e+02 -4.361380855501597228e-09 4.860848160609317157e-22 7.193134976546390235e-14 4.361380855501597228e-09 3.141592653589904582e+00 9.599999999999999645e+00
-1.504975133651920771e+02 -5.133181559508704524e-09 3.603440185494984046e-22 -7.969236381910605612e-14 5.133181559508704524e-09 3.141592653589863282e+00 1.280000000000000071e+01
-1.493244928373328548e+02 -5.683518355051270358e-09 -4.307227523892155911e-22 1.381839087599701441e-14 5.683518355051270358e-09 3.141592653589717621e+00 1.600000000000000000e+01
-1.481514723094736041e+02 -7.483911779493129908e-09 7.689039081134323144e-22 6.852407530288930349e-14 7.483911779493129908e-09 3.141592653589895701e+00 1.919999999999999929e+01
-1.469784517816143818e+02 -1.037054718330962633e-08 8.853836899870296804e-22 -4.353739591067549859e-14 1.037054718330962633e-08 3.141592653589878381e+00 2.239999999999999858e+01
-1.458054312537551311e+02 -8.028003907156975513e-09 4.135590406149548243e-24 -3.312627949725309565e-14 8.028003907156975513e-09 3.141592653589793560e+00 2.560000000000000142e+01
-1.446324107258959089e+02 -8.855436712774759790e-09 6.707733946485390918e-23 -7.382428002244980498e-15 8.855436712774759790e-09 3.141592653589800666e+00 2.880000000000000071e+01
-1.434593901980366581e+02 -9.119150286379214294e-09 -1.543985674283242187e-22 -2.082223282684480587e-15 9.119150286379214294e-09 3.141592653589776241e+00 3.200000000000000000e+01
-1.422863696701774359e+02 -5.714438934861589811e-09 1.683366112826259703e-23 1.247441039353703298e-13 5.714438934861589811e-09 3.141592653589795781e+00 3.520000000000000284e+01
-1.411133491423181852e+02 -3.765623738972228691e-09 1.039705516200584827e-21 -1.209582434213985309e-13 3.765623738972228691e-09 3.141592653590068895e+00 3.839999999999999858e+01
-1.399403286144589345e+02 -2.386319677050726308e-09 -6.712111366851798812e-22 -5.716649376097394451e-14 2.386319677050726308e-09 3.141592653589512008e+00 4.160000000000000142e+01
-1.387673080865997122e+02 -2.721957158643436763e-09 3.880857139985189208e-22 1.518130066102685648e-13 2.721957158643436763e-09 3.141592653589934780e+00 4.479999999999999716e+01
-1.375942875587404899e+02 -4.263683595115848602e-09 3.233971192552012816e-22 -9.559297797778746277e-14 4.263683595115848602e-09 3.141592653589868167e+00 4.800000000000000000e+01
-1.364212670308812392e+02 -4.015315193155184104e-09 -3.291142129105073827e-22 -8.480327551296798596e-14 4.015315193155184104e-09 3.141592653589710515e+00 5.120000000000000284e+01
-1.352482465030220169e+02 -2.886720125958577605e-09 -3.550609250038321918e-22 -1.339103868592387503e+00 2.886720125958577605e-09 3.141592653589669215e+00 5.439999999999999858e+01
-1.340752259751627662e+02 3.558250832214229497e-10 -1.897777261541300100e-22 -1.339103868592651292e+00 3.558250832214229497e-10 5.324573756261204245e-13 5.760000000000000142e+01
-1.329022054473035155e+02 1.164927004282171450e-09 1.476793349841217577e-22 -3.536198373677877391e-13 1.164927004282171450e-09 -1.276594992331633061e-13 6.079999999999999716e+01
-1.317291849194442932e+02 1.344012558686248201e-09 3.981786424579454488e-22 -1.144030409856520452e-13 1.344012558686248201e-09 -2.971492809551995143e-13 6.400000000000000000e+01
-1.305561643915850425e+02 1.166553801614722152e-09 4.609818767951163320e-22 6.271775000532509940e-14 1.166553801614722152e-09 -3.960537302845466331e-13 6.720000000000000284e+01
-1.293831438637257918e+02 1.711352719646339351e-09 2.552015144194327761e-22 1.160965811944561907e-13 1.711352719646339351e-09 -1.500108645204190920e-13 7.040000000000000568e+01
