# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -8.795409712815652676e-07 -7.246623385466267264e-09 3.008228865841022087e-03 8.795708235914888791e-07 3.133353743004326120e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -8.794130245427839229e-07 -5.381256756461285902e-09 3.008228865841022087e-03 8.794294887367412401e-07 3.135473583889181626e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -8.772586057509901351e-07 -3.553034434778753267e-09 2.967568656154544182e-03 8.772658008938144490e-07 3.137542519474307845e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -8.733087835276252489e-07 -1.735188334189313378e-09 3.020514213020806041e-03 8.733105073598138411e-07 3.139605743480197386e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -8.680855555677155832e-07 1.352034203087715485e-10 3.223738236000877559e-03 8.680855660966114621e-07 3.141748402546043373e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -8.624489380524495068e-07 2.157808712443250674e-09 3.607499506496795148e-03 8.624516374187236495e-07 3.144094603693486256e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -8.575046536389898894e-07 4.441033576057844289e-09 4.146744442749987665e-03 8.575161536622781072e-07 3.146771627081873302e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -8.542352480908317622e-07 7.069846962862589666e-09 4.765662784822002028e-03 8.542645034278806029e-07 3.149868694137885505e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -8.529096401225287652e-07 1.007748563506435569e-08 5.375359948480310478e-03 8.529691729075949640e-07 3.153407523826168735e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -8.525832518326527788e-07 1.343859525556763817e-08 5.921164371510250976e-03 8.526891562275103528e-07 3.157353557249715781e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -8.512045206772622233e-07 1.707722601236590735e-08 6.395729948691119757e-03 8.513758087176809889e-07 3.161652386534559156e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -8.466177717827675592e-07 2.088739310102624818e-08 6.801783190133406896e-03 8.468753950192291252e-07 3.166259223777167620e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -8.380288574136173354e-07 2.475486234232285793e-08 7.092738063301230918e-03 8.383943994729213656e-07 3.171123457603742146e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -8.268614778710183708e-07 2.857345826338747335e-08 7.155132059030099197e-03 8.273550302646223462e-07 3.176135431882428861e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -8.163156425825101832e-07 3.225625430525232668e-08 6.854367194436116612e-03 8.169526878997960847e-07 3.181086545568493129e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -8.101492175327754689e-07 3.574026353640790206e-08 6.103331695615650185e-03 8.109371869057554557e-07 3.185679722992288188e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -8.116966551841537886e-07 3.898521578811472550e-08 4.919611493603884278e-03 8.126323320464112980e-07 3.189585065240779116e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -8.233001468193176262e-07 4.197301910396759415e-08 3.459354395259536027e-03 8.243693747862131974e-07 3.192529983988004805e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -8.457839105057752209e-07 4.470686881873416760e-08 1.978076898302499713e-03 8.469646553369372194e-07 3.194402006683211503e+00 3.383999999999999631e+01
