# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 1.231464969009406357e-01 -8.675171612487338202e-02 -6.221367783712257633e-03 1.506350555135954894e-01 6.137126321584348565e-01 0.000000000000000000e+00
-3.055501458729938236e+02 1.190422204577182563e-01 -8.309527262287028093e-02 -6.221367783712257633e-03 1.451753236048507201e-01 6.094039001694954161e-01 1.879999999999999893e+00
-3.048539261608659103e+02 1.150348254051676844e-01 -7.955530471735333675e-02 -6.319264715209302156e-03 1.398644256580934553e-01 6.050497543835982039e-01 3.759999999999999787e+00
-3.041577064487379403e+02 1.110708550530472433e-01 -7.608630266620747262e-02 -6.436074677704228635e-03 1.346323151982047606e-01 6.006047068477285977e-01 5.639999999999999680e+00
-3.034614867366099702e+02 1.071734797770998171e-01 -7.270745243274069625e-02 -6.553487049567287108e-03 1.295087966386518352e-01 5.960879102649075945e-01 7.519999999999999574e+00
-3.027652670244820001e+02 1.033316117466656914e-01 -6.940788026700733804e-02 -6.681003114740386058e-03 1.244784151141188205e-01 5.914793731135604693e-01 9.399999999999998579e+00
-3.020690473123540301e+02 9.955365521352328717e-02 -6.619415695084811257e-02 -6.814349947384605588e-03 1.195516485909190046e-01 5.867850181343664540e-01 1.127999999999999936e+01
-3.013728276002260600e+02 9.583531144384790923e-02 -6.306131358799142717e-02 -6.957263493089102524e-03 1.147219952362332207e-01 5.819908035961458559e-01 1.316000000000000014e+01
-3.006766078880981468e+02 9.218111634939973875e-02 -6.001247438098707837e-02 -7.108519352980112796e-03 1.099947966621612622e-01 5.770974501616527030e-01 1.503999999999999915e+01
-2.999803881759701767e+02 8.858897624177641816e-02 -5.704464555935054304e-02 -7.270405360801813523e-03 1.053664951422318002e-01 5.720926210009701363e-01 1.691999999999999815e+01
-2.992841684638422066e+02 8.506182529300958250e-02 -5.415949276759358944e-02 -7.442985951680095025e-03 1.008402934298661541e-01 5.669738511069506437e-01 1.879999999999999716e+01
-2.985879487517142366e+02 8.159853336025925385e-02 -5.135488253181488827e-02 -7.628321851809712582e-03 9.641392330157429191e-02 5.617287139276677665e-01 2.067999999999999972e+01
-2.978917290395862665e+02 7.820122509199063654e-02 -4.863170215463765572e-02 -7.827378665231419716e-03 9.208948941299205382e-02 5.563518750195778351e-01 2.255999999999999872e+01
-2.971955093274582964e+02 7.486927932150569398e-02 -4.598824435352270867e-02 -8.042326802756951873e-03 8.786539480842815719e-02 5.508295632856198276e-01 2.443999999999999773e+01
-2.964992896153303263e+02 7.160433188569122198e-02 -4.342491398528989383e-02 -8.274647718314992115e-03 8.374308030772478761e-02 5.451534221166689509e-01 2.632000000000000028e+01
-2.958030699032023563e+02 6.840599902512298214e-02 -4.094022748812626428e-02 -8.526536950525149400e-03 7.972128278825332814e-02 5.393076175808086958e-01 2.819999999999999929e+01
-2.951068501910743862e+02 6.527551243841557549e-02 -3.853425804893573919e-02 -8.799819620260943692e-03 7.580093381667347974e-02 5.332807359143828529e-01 3.007999999999999829e+01
-2.944106304789464161e+02 6.221253201281423673e-02 -3.620564062161437530e-02 -9.096964320502306037e-03 7.198088324178113229e-02 5.270544018152165666e-01 3.195999999999999730e+01
-2.937144107668185029e+02 5.921792818526579877e-02 -3.395420330883396065e-02 -9.420541875714134178e-03 6.826163593771342186e-02 5.206137641534659410e-01 3.383999999999999631e+01
-2.930181910546905328e+02 5.629133242692272582e-02 -3.177864087938225834e-02 -9.773981282075920943e-03 6.464206155854766711e-02 5.139368679096183445e-01 3.571999999999999886e+01
-2.923219713425625628e+02 5.343334565750001292e-02 -2.967859025070286941e-02 -1.016134775479026614e-02 6.112234572906205532e-02 5.070040872843639690e-01 3.759999999999999432e+01
-2.916257516304345927e+02 5.064359611454672533e-02 -2.765277086253374941e-02 -1.058784548103806726e-02 5.770138268524530739e-02 4.997878066922739615e-01 3.947999999999999687e+01
-2.909295319183066226e+02 4.792252392131617078e-02 -2.570066351925234110e-02 -1.105980998545125042e-02 5.437915413390454616e-02 4.922611538186366098e-01 4.135999999999999943e+01
-2.902333122061786526e+02 4.526979170789512813e-02 -2.382098977195638498e-02 -1.158508720850829829e-02 5.115460482685661031e-02 4.843876912437523052e-01 4.323999999999999488e+01
-2.895370924940507393e+02 4.268575045651312738e-02 -2.201309799695072220e-02 -1.217330547189135297e-02 4.802759389620789993e-02 4.761296216560666483e-01 4.511999999999999744e+01
-2.888408727819227693e+02 4.017010898398050422e-02 -2.027569699591422192e-02 -1.283619623172629204e-02 4.499712818008496512e-02 4.674371007811803924e-01 4.700000000000000000e+01
-2.881446530697947992e+02 3.772314962689778811e-02 -1.860802010939056547e-02 -1.358821175812534483e-02 4.206298170796742703e-02 4.582559959655256310e-01 4.887999999999999545e+01
-2.874484333576668291e+02 3.534459167004175284e-02 -1.700875460607895184e-02 -1.444703819987071258e-02 3.922420035605311134e-02 4.485163390240287651e-01 5.075999999999999801e+01
-2.867522136455388591e+02 3.303462029833197783e-02 -1.547703360455221673e-02 -1.543494595523322958e-02 3.648047021971352610e-02 4.381393704122942823e-01 5.264000000000000057e+01
-2.860559939334108890e+02 3.079291656882310324e-02 -1.401151931745556363e-02 -1.657991913548129831e-02 3.383084959615898640e-02 4.270241117647025075e-01 5.451999999999999602e+01
-2.853597742212829758e+02 2.861955363375981096e-02 -1.261125833367862312e-02 -1.791834219283994917e-02 3.127495302881257849e-02 4.150528373570749330e-01 5.639999999999999858e+01
-2.846635545091550057e+02 2.651417483188443086e-02 -1.127488750643668505e-02 -1.949748296703508743e-02 2.881188218944635143e-02 4.020739056780838205e-01 5.827999999999999403e+01
-2.839673347970270356e+02 2.447679160386297473e-02 -1.000137867607804945e-02 -2.138050435176369266e-02 2.644127271220592795e-02 3.879037734000169158e-01 6.015999999999999659e+01
-2.832711150848990656e+02 2.250706883626288693e-02 -8.789343908824069629e-03 -2.365151827145470231e-02 2.416238220763546052e-02 3.723028485082126582e-01 6.203999999999999915e+01
-2.825748953727710955e+02 2.060500729306182638e-02 -7.637689797312994730e-03 -2.642541964201168200e-02 2.197500013622548723e-02 3.549704669153340708e-01 6.391999999999999460e+01
-2.818786756606431254e+02 1.877028311365045235e-02 -6.545004697420929267e-03 -2.985999458504105114e-02 1.987864720386810571e-02 3.355070523961687368e-01 6.579999999999999716e+01
-2.811824559485152122e+02 1.700282707165007290e-02 -5.510138432173309654e-03 -3.417883903463352774e-02 1.787338115662925886e-02 3.133922332470545080e-01 6.767999999999999261e+01
-2.804862362363871853e+02 1.530223087232903713e-02 -4.531658088055028587e-03 -3.970381194663009927e-02 1.595914141478464721e-02 2.879150894490476453e-01 6.956000000000000227e+01
