# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 1.304789015783596851e+00 2.235718429975170896e+00 2.851936071381385297e-04 2.588611843023239434e+00 -1.042515016969645769e+00 0.000000000000000000e+00
-3.055501458729938236e+02 1.287039495600389438e+00 2.204627216782605537e+00 2.851936071381385297e-04 2.552812532916180377e+00 -1.042381162272220108e+00 1.879999999999999893e+00
-3.048539261608659103e+02 1.269716754298224837e+00 2.173639853786330622e+00 3.440465514483853062e-04 2.517318186108756350e+00 -1.042117902147520869e+00 3.759999999999999787e+00
-3.041577064487379403e+02 1.252406561965405674e+00 2.142944419125843769e+00 3.311405545154619810e-04 2.482082387818061342e+00 -1.041902098290204082e+00 5.639999999999999680e+00
-3.034614867366099702e+02 1.235283654999125735e+00 2.112456464887870755e+00 3.423626598416447289e-04 2.447120353467429510e+00 -1.041656808984443572e+00 7.519999999999999574e+00
-3.027652670244820001e+02 1.218251649379030299e+00 2.082224043670894087e+00 3.426411588518946658e-04 2.412424931320329424e+00 -1.041425379025247455e+00 9.399999999999998579e+00
-3.020690473123540301e+02 1.201371603188245096e+00 2.052215937158515580e+00 3.489830951451738331e-04 2.377999996146866302e+00 -1.041179701926485457e+00 1.127999999999999936e+01
-3.013728276002260600e+02 1.184601337546598465e+00 2.022453840616972531e+00 3.517900932512293207e-04 2.343842969642704777e+00 -1.040939441205168459e+00 1.316000000000000014e+01
-3.006766078880981468e+02 1.167971677706428624e+00 1.992921526033221813e+00 3.570412699724899463e-04 2.309955421399069841e+00 -1.040689855531579777e+00 1.503999999999999915e+01
-2.999803881759701767e+02 1.151459033802739507e+00 1.963631262136022793e+00 3.607559484782148977e-04 2.276336012139650755e+00 -1.040442282864772361e+00 1.691999999999999815e+01
-2.992841684638422066e+02 1.135081939712656141e+00 1.934573072342201661e+00 3.657312926885933585e-04 2.242985506438547993e+00 -1.040187524726383872e+00 1.879999999999999716e+01
-2.985879487517142366e+02 1.118825326390839647e+00 1.905754791922577018e+00 3.699310178046606246e-04 2.209903038123942842e+00 -1.039933024194148681e+00 2.067999999999999972e+01
-2.978917290395862665e+02 1.102701537356085559e+00 1.877169629013790475e+00 3.748928253317670013e-04 2.177088996017215283e+00 -1.039672418192937542e+00 2.255999999999999872e+01
-2.971955093274582964e+02 1.086700100556543314e+00 1.848822977820277158e+00 3.794322393839261696e-04 2.144542727917967628e+00 -1.039411008644286039e+00 2.443999999999999773e+01
-2.964992896153303263e+02 1.070829804001605545e+00 1.820709880916778989e+00 3.844872892345828786e-04 2.112264410438737805e+00 -1.039144081783985651e+00 2.632000000000000028e+01
-2.958030699032023563e+02 1.055082929337802344e+00 1.792834242202673511e+00 3.893053583954798522e-04 2.080253496041882144e+00 -1.038875633384630515e+00 2.819999999999999929e+01
-2.951068501910743862e+02 1.039466029114822776e+00 1.765192253634022546e+00 3.945012077790894080e-04 2.048510023888898690e+00 -1.038601997654881703e+00 3.007999999999999829e+01
-2.944106304789464161e+02 1.023973157946993506e+00 1.737786840773473562e+00 3.995652276721062116e-04 2.017033498026591598e+00 -1.038326314350002333e+00 3.195999999999999730e+01
-2.937144107668185029e+02 1.008609368333313272e+00 1.710614960596226197e+00 4.049238427670867071e-04 1.985823859587086959e+00 -1.038045627279309269e+00 3.383999999999999631e+01
-2.930181910546905328e+02 9.933699230001445946e-01 1.683678858181662408e+00 4.102179293156739404e-04 1.954880636102680258e+00 -1.037762482427512234e+00 3.571999999999999886e+01
-2.923219713425625628e+02 9.782588235149978217e-01 1.656976019038764791e+00 4.157605755861665557e-04 1.924203693337714460e+00 -1.037474423661993495e+00 3.759999999999999432e+01
-2.916257516304345927e+02 9.632722010530712087e-01 1.630508187322065483e+00 4.212947435239263556e-04 1.893792565791173388e+00 -1.037183561011014721e+00 3.947999999999999687e+01
-2.909295319183066226e+02 9.484133024691537850e-01 1.604273218284865132e+00 4.270631421851903121e-04 1.863647056501451793e+00 -1.036887796251878990e+00 4.135999999999999943e+01
-2.902333122061786526e+02 9.336789116589524484e-01 1.578272465628076437e+00 4.328801392712523701e-04 1.833766693403600101e+00 -1.036588901455189449e+00 4.323999999999999488e+01
-2.895370924940507393e+02 9.190717187099952667e-01 1.552504042059740685e+00 4.389412851036883631e-04 1.804151220032394587e+00 -1.036285036879980304e+00 4.511999999999999744e+01
-2.888408727819227693e+02 9.045890104909015683e-01 1.526968982849860712e+00 4.451108197095937397e-04 1.774800144378641420e+00 -1.035977702304877512e+00 4.700000000000000000e+01
-2.881446530697947992e+02 8.902330526029482716e-01 1.501665580081398721e+00 4.515490143918278812e-04 1.745713150075912878e+00 -1.035665247026453795e+00 4.887999999999999545e+01
-2.874484333576668291e+02 8.760015225171727815e-01 1.476594605337719690e+00 4.581523146991888819e-04 1.716889715725754550e+00 -1.035348947655254426e+00 5.075999999999999801e+01
-2.867522136455388591e+02 8.618963462893013405e-01 1.451754481834766741e+00 4.650497500513233362e-04 1.688329466447286764e+00 -1.035027297681152536e+00 5.264000000000000057e+01
-2.860559939334108890e+02 8.479154995418198837e-01 1.427145767787697972e+00 4.721555326113607582e-04 1.660031848151592548e+00 -1.034701394049042600e+00 5.451999999999999602e+01
-2.853597742212829758e+02 8.340606206753050644e-01 1.402766993700130804e+00 4.795699682203062868e-04 1.631996433076916553e+00 -1.034369849703163924e+00 5.639999999999999858e+01
-2.846635545091550057e+02 8.203299078217523022e-01 1.378618552443389378e+00 4.872174995166001421e-04 1.604222637543789132e+00 -1.034033621918603485e+00 5.827999999999999403e+01
-2.839673347970270356e+02 8.067247489920934544e-01 1.354699071734817295e+00 4.951757467286972561e-04 1.576709990960776464e+00 -1.033691428848649618e+00 6.015999999999999659e+01
-2.832711150848990656e+02 7.932435110967691605e-01 1.331008819719138980e+00 5.033782698124001417e-04 1.549457887800525402e+00 -1.033344119686923079e+00 6.203999999999999915e+01
-2.825748953727710955e+02 7.798873665786559828e-01 1.307546513996153958e+00 5.118870767776576231e-04 1.522465825827458596e+00 -1.032990505100449097e+00 6.391999999999999460e+01
-2.818786756606431254e+02 7.666548158321041528e-01 1.284312326601691368e+00 5.206450944174157531e-04 1.495733184394732351e+00 -1.032631347940450750e+00 6.579999999999999716e+01
-2.811824559485152122e+02 7.535468472812274499e-01 1.261305054329234565e+00 5.297042237514508348e-04 1.469259436288891330e+00 -1.032265538344936839e+00 6.767999999999999261e+01
-2.804862362363871853e+02 7.405620702731667837e-01 1.238524789311599816e+00 5.390176110363594560e-04 1.443043947240215452e+00 -1.031893766896104347e+00 6.956000000000000227e+01
-2.797900165242592720e+02 7.277013173140504110e-01 1.215970392255488974e+00 5.486325814231175118e-04 1.417086166068447506e+00 -1.031514988972961566e+00 7.143999999999999773e+01
-2.790937968121312451e+02 7.149632914510190007e-01 1.193641881455386633e+00 5.585146029486149450e-04 1.391385442387130356e+00 -1.031129829260299502e+00 7.331999999999999318e+01
-2.783975771000033319e+02 7.023486964967535773e-01 1.171538163026329959e+00 5.687109080843563485e-04 1.365941198916628352e+00 -1.030737291220793272e+00 7.519999999999998863e+01
-2.777013573878753618e+02 6.898563204124613657e-01 1.149659181257160601e+00 5.791993845212451081e-04 1.340752764629596028e+00 -1.030337933770878456e+00 7.707999999999999829e+01
-2.770051376757473918e+02 6.774867611549231228e-01 1.128003869441865481e+00 5.900278840848601370e-04 1.315819532084855581e+00 -1.029930791163281123e+00 7.895999999999999375e+01
-2.763089179636194217e+02 6.652388825611840195e-01 1.106572096704718344e+00 6.011839771596037005e-04 1.291140804125068708e+00 -1.029516355683668394e+00 8.083999999999998920e+01
-2.756126982514914516e+02 6.531131920011171710e-01 1.085362809756809988e+00 6.127146772241214966e-04 1.266715939099640975e+00 -1.029093678892253116e+00 8.271999999999999886e+01
-2.749164785393634816e+02 6.411086181389443750e-01 1.064375804510513612e+00 6.246141137689847998e-04 1.242544209869182126e+00 -1.028663187611281282e+00 8.459999999999999432e+01
-2.742202588272355683e+02 6.292255874076596589e-01 1.043610033614503108e+00 6.369271825240019032e-04 1.218624939064262946e+00 -1.028223941575294509e+00 8.647999999999998977e+01
-2.735240391151075983e+02 6.174630820839394074e-01 1.023065225469959483e+00 6.496524094937687751e-04 1.194957368822208821e+00 -1.027776305091954612e+00 8.835999999999999943e+01
-2.728278194029796282e+02 6.058214543184807788e-01 1.002740336011286981e+00 6.628319135826064943e-04 1.171540787158768859e+00 -1.027319339948252530e+00 9.023999999999999488e+01
-2.721315996908516581e+02 5.942997294260463637e-01 9.826350335908360378e-01 6.764671792965400035e-04 1.148374406557345573e+00 -1.026853351803827197e+00 9.211999999999999034e+01
-2.714353799787236881e+02 5.828981896902195592e-01 9.627482768600795771e-01 6.905975647713579781e-04 1.125457482156117406e+00 -1.026377400378584825e+00 9.400000000000000000e+01
-2.707391602665957180e+02 5.716158938274022994e-01 9.430796811183421724e-01 7.052276151236193608e-04 1.102789197904283869e+00 -1.025891736528344422e+00 9.587999999999999545e+01
-2.700429405544678048e+02 5.604530585115502506e-01 9.236282071670868232e-01 7.203959469337379955e-04 1.080368777718811346e+00 -1.025395413644212717e+00 9.775999999999999091e+01
-2.693467208423398347e+02 5.494087698130993846e-01 9.043934225463907683e-01 7.361122593388879590e-04 1.058195378506595841e+00 -1.024888628810759705e+00 9.964000000000000057e+01
-2.686505011302118646e+02 5.384831854783385108e-01 8.853742887430410269e-01 7.524169550916243870e-04 1.036268195116565538e+00 -1.024370421913631146e+00 1.015199999999999960e+02
-2.679542814180838946e+02 5.276754161848439262e-01 8.665703289795716469e-01 7.693257627574692304e-04 1.014586359022045636e+00 -1.023840933779011531e+00 1.033999999999999915e+02
-2.672580617059559245e+02 5.169855669293925704e-01 8.479805031697704720e-01 7.868810287164889478e-04 9.931490372393071420e-01 -1.023299182391471884e+00 1.052800000000000011e+02
-2.665618419938279544e+02 5.064127691220422500e-01 8.296042923795948765e-01 8.051037571238307995e-04 9.719553357353944989e-01 -1.022745249612427632e+00 1.071599999999999966e+02
-2.658656222817000412e+02 4.959570782636928410e-01 8.114406524558797074e-01 8.240385369105211700e-04 9.510043932274353518e-01 -1.022178124179436098e+00 1.090399999999999920e+02
-2.651694025695720711e+02 4.856176422292378114e-01 7.934890238749631175e-01 8.437127789046724655e-04 9.302952893862925787e-01 -1.021597825866527254e+00 1.109199999999999875e+02
-2.644731828574441010e+02 4.753944708183179824e-01 7.757483561651179471e-01 8.641756983235264044e-04 9.098271346676307658e-01 -1.021003305243340709e+00 1.127999999999999972e+02
