# r=8.000000e+02
# M=2.700297e+00
#  J_orb:0 E_b:1 u/M:2 E_rad:3 J_rad:4 t:5
4.311104000722017382e+00 -3.300519832153519378e-02 -2.916257516304345927e+02 2.296775431129662384e-05 1.205058338133222195e-04 3.947999999999999687e+01
4.311101370578053427e+00 -3.300639007205898728e-02 -2.909295319183066226e+02 2.377227470046658253e-05 1.253003293514037711e-04 4.135999999999999943e+01
4.311098780075547587e+00 -3.300754767853122940e-02 -2.902333122061786526e+02 2.455374531081884655e-05 1.300225623852936717e-04 4.323999999999999488e+01
4.311096228422020005e+00 -3.300867177837721322e-02 -2.895370924940507393e+02 2.531259645242800994e-05 1.346739775269455142e-04 4.511999999999999744e+01
4.311093714829237200e+00 -3.300976300716583489e-02 -2.888408727819227693e+02 2.604925718091151659e-05 1.392560116483624059e-04 4.700000000000000000e+01
4.311091238593212083e+00 -3.301082199846745030e-02 -2.881446530697947992e+02 2.676415520454145908e-05 1.437699480472636035e-04 4.887999999999999545e+01
4.311088799023377049e+00 -3.301184938343292713e-02 -2.874484333576668291e+02 2.745771659620936133e-05 1.482170455661857198e-04 5.075999999999999801e+01
4.311086395499081014e+00 -3.301284579061398300e-02 -2.867522136455388591e+02 2.813036567583822228e-05 1.525984355867576541e-04 5.264000000000000057e+01
4.311084027418004005e+00 -3.301381184559484816e-02 -2.860559939334108890e+02 2.878252475930003586e-05 1.569152160807524505e-04 5.451999999999999602e+01
4.311081694236977846e+00 -3.301474817080871094e-02 -2.853597742212829758e+02 2.941461403474099147e-05 1.611683771915344346e-04 5.639999999999999858e+01
4.311079395433507599e+00 -3.301565538521406690e-02 -2.846635545091550057e+02 3.002705134560431147e-05 1.653588713751948981e-04 5.827999999999999403e+01
4.311077130535783120e+00 -3.301653410411314188e-02 -2.839673347970270356e+02 3.062025206724670895e-05 1.694875586972360566e-04 6.015999999999999659e+01
4.311074899093293666e+00 -3.301738493886113845e-02 -2.832711150848990656e+02 3.119462890921870224e-05 1.735552603923715793e-04 6.203999999999999915e+01
4.311072700699120297e+00 -3.301820849666297492e-02 -2.825748953727710955e+02 3.175059178060827381e-05 1.775627182374531329e-04 6.391999999999999460e+01
4.311070534966994217e+00 -3.301900538028907511e-02 -2.818786756606431254e+02 3.228854759600011305e-05 1.815106363589439080e-04 6.579999999999999716e+01
4.311068401548055817e+00 -3.301977618786159502e-02 -2.811824559485152122e+02 3.280890013277469494e-05 1.853996506945482833e-04 6.767999999999999261e+01
4.311066300112714522e+00 -3.302052151258929452e-02 -2.804862362363871853e+02 3.331204985059695316e-05 1.892303620590899869e-04 6.956000000000000227e+01
4.311064230363437666e+00 -3.302124194256823159e-02 -2.797900165242592720e+02 3.379839375836872218e-05 1.930033128220518402e-04 7.143999999999999773e+01
4.311062192020239436e+00 -3.302193806054951747e-02 -2.790937968121312451e+02 3.426832525644426657e-05 1.967190133710562271e-04 7.331999999999999318e+01
4.311060184830532549e+00 -3.302261044376108429e-02 -2.783975771000033319e+02 3.472223401674443601e-05 2.003779241501241930e-04 7.519999999999998863e+01
4.311058208557315474e+00 -3.302325966369910881e-02 -2.777013573878753618e+02 3.516050584185070844e-05 2.039804771855728029e-04 7.707999999999999829e+01
4.311056262986784127e+00 -3.302388628596227699e-02 -2.770051376757473918e+02 3.558352255277334486e-05 2.075270622255667339e-04 7.895999999999999375e+01
4.311054347918582330e+00 -3.302449087006029821e-02 -2.763089179636194217e+02 3.599166186051469936e-05 2.110180444989091873e-04 8.083999999999998920e+01
4.311052463171699323e+00 -3.302507396926136068e-02 -2.756126982514914516e+02 3.638529726234140173e-05 2.144537539673771671e-04 8.271999999999999886e+01
4.311050608576355359e+00 -3.302563613042169138e-02 -2.749164785393634816e+02 3.676479792648058810e-05 2.178345001272588089e-04 8.459999999999999432e+01
4.311048783978576715e+00 -3.302617789384216379e-02 -2.742202588272355683e+02 3.713052859681529764e-05 2.211605636554114112e-04 8.647999999999998977e+01
4.311046989233351390e+00 -3.302669979311503162e-02 -2.735240391151075983e+02 3.748284948740155558e-05 2.244322088939519903e-04 8.835999999999999943e+01
4.311045224208185367e+00 -3.302720235498841916e-02 -2.728278194029796282e+02 3.782211619282213974e-05 2.276496773676747970e-04 9.023999999999999488e+01
4.311043488777276167e+00 -3.302768609922486498e-02 -2.721315996908516581e+02 3.814867959123893667e-05 2.308131984017343190e-04 9.211999999999999034e+01
4.311041782824292845e+00 -3.302815153847831614e-02 -2.714353799787236881e+02 3.846288576277929788e-05 2.339229840564836392e-04 9.400000000000000000e+01
4.311040106237408409e+00 -3.302859917817177471e-02 -2.707391602665957180e+02 3.876507590462516104e-05 2.369792381820189575e-04 9.587999999999999545e+01
4.311038458911485627e+00 -3.302902951638744117e-02 -2.700429405544678048e+02 3.905558626051854320e-05 2.399821524332075432e-04 9.775999999999999091e+01
4.311036840743811105e+00 -3.302944304376474044e-02 -2.693467208423398347e+02 3.933474804803604411e-05 2.429319140426344640e-04 9.964000000000000057e+01
4.311035251635817467e+00 -3.302984024340624436e-02 -2.686505011302118646e+02 3.960288739766131233e-05 2.458287026964094883e-04 1.015199999999999960e+02
4.311033691489386754e+00 -3.303022159078757708e-02 -2.679542814180838946e+02 3.986032529021556165e-05 2.486726972471154252e-04 1.033999999999999915e+02
4.311032160208216446e+00 -3.303058755367713900e-02 -2.672580617059559245e+02 4.010737750510687347e-05 2.514640732483817693e-04 1.052800000000000011e+02
4.311030657694630897e+00 -3.303093859206437943e-02 -2.665618419938279544e+02 4.034435456869001324e-05 2.542030087526053490e-04 1.071599999999999966e+02
4.311029183850663138e+00 -3.303127515809407139e-02 -2.658656222817000412e+02 4.057156171300065897e-05 2.568896823439571612e-04 1.090399999999999920e+02
4.311027738575299750e+00 -3.303159769601033552e-02 -2.651694025695720711e+02 4.078929883530889365e-05 2.595242781598094397e-04 1.109199999999999875e+02
4.311026321765342395e+00 -3.303190664210602784e-02 -2.644731828574441010e+02 4.099786046649474226e-05 2.621069843212902348e-04 1.127999999999999972e+02
4.311024933313012397e+00 -3.303220242468062062e-02 -2.637769631453161310e+02 4.119753573999179681e-05 2.646379972982513271e-04 1.146799999999999926e+02
4.311023573106644413e+00 -3.303248546400137931e-02 -2.630807434331881609e+02 4.138860836830378359e-05 2.671175206445540375e-04 1.165599999999999881e+02
4.311022241028613422e+00 -3.303275617227510036e-02 -2.623845237210601908e+02 4.157135662065719123e-05 2.695457687813534596e-04 1.184399999999999977e+02
4.311020936955906713e+00 -3.303301495362047369e-02 -2.616883040089322208e+02 4.174605330809464960e-05 2.719229659463048387e-04 1.203199999999999932e+02
4.311019660758340422e+00 -3.303326220405360114e-02 -2.609920842968043075e+02 4.191296577060343745e-05 2.742493494542855054e-04 1.221999999999999886e+02
4.311018412299047142e+00 -3.303349831147747717e-02 -2.602958645846762806e+02 4.207235587140397315e-05 2.765251687984673500e-04 1.240799999999999983e+02
4.311017191432943818e+00 -3.303372365567606300e-02 -2.595996448725483106e+02 4.222447999358045314e-05 2.787506884527387999e-04 1.259599999999999937e+02
4.311015998007160732e+00 -3.303393860832153084e-02 -2.589034251604203405e+02 4.236958904327713414e-05 2.809261870851305094e-04 1.278399999999999892e+02
4.311014831859723451e+00 -3.303414353298084888e-02 -2.582072054482924273e+02 4.250792845529398865e-05 2.830519599568940160e-04 1.297199999999999989e+02
4.311013692819946286e+00 -3.303433878513351712e-02 -2.575109857361644572e+02 4.263973820457512127e-05 2.851283182109342717e-04 1.315999999999999943e+02
4.311012580707317632e+00 -3.303452471219067710e-02 -2.568147660240364871e+02 4.276525281992159510e-05 2.871555909048010939e-04 1.334799999999999898e+02
4.311011495331865895e+00 -3.303470165352533766e-02 -2.561185463119085171e+02 4.288470140287458797e-05 2.891341243356320952e-04 1.353599999999999852e+02
4.311010436493235787e+00 -3.303486994050069264e-02 -2.554223265997805754e+02 4.299830764878404275e-05 2.910642837338770004e-04 1.372399999999999807e+02
4.311009403981049815e+00 -3.303502989651154603e-02 -2.547261068876526053e+02 4.310628987285291115e-05 2.929464525951977938e-04 1.391200000000000045e+02
4.311008397574151552e+00 -3.303518183702511962e-02 -2.540298871755246353e+02 4.320886103882273761e-05 2.947810340671897520e-04 1.410000000000000000e+02
4.311007417040971568e+00 -3.303532606963034690e-02 -2.533336674633966936e+02 4.330622879263920064e-05 2.965684502777673668e-04 1.428799999999999955e+02
4.311006462138915474e+00 -3.303546289409318992e-02 -2.526374477512687236e+02 4.339859549875748316e-05 2.983091434529592753e-04 1.447599999999999909e+02
4.311005532614737845e+00 -3.303559260241710482e-02 -2.519412280391407535e+02 4.348615828064041527e-05 3.000035752341115042e-04 1.466399999999999864e+02
4.311004628204065270e+00 -3.303571547890360449e-02 -2.512450083270128118e+02 4.356910906319707460e-05 3.016522275493832713e-04 1.485199999999999818e+02
4.311003748631786259e+00 -3.303583180022131444e-02 -2.505487886148848418e+02 4.364763461861300147e-05 3.032556019005681197e-04 1.503999999999999773e+02
4.311002893611699527e+00 -3.303594183547701318e-02 -2.498525689027568717e+02 4.372191661404219929e-05 3.048142200010595646e-04 1.522800000000000011e+02
4.311002062846934102e+00 -3.303604584629194624e-02 -2.491563491906289300e+02 4.379213166279071314e-05 3.063286230214568788e-04 1.541599999999999966e+02
4.311001256029706852e+00 -3.303614408687880616e-02 -2.484601294785009600e+02 4.385845137781056860e-05 3.077993720188909382e-04 1.560399999999999920e+02
4.311000472841760356e+00 -3.303623680412854507e-02 -2.477639097663729899e+02 4.392104242872938206e-05 3.092270471461462797e-04 1.579199999999999875e+02
4.310999712954224350e+00 -3.303632423769656268e-02 -2.470676900542450483e+02 4.398006660109137747e-05 3.106122478994631508e-04 1.597999999999999829e+02
4.310998976028073137e+00 -3.303640662009679763e-02 -2.463714703421170782e+02 4.403568085858386899e-05 3.119555922914733987e-04 1.616799999999999784e+02
4.310998261714078517e+00 -3.303648417679376503e-02 -2.456752506299890797e+02 4.408803740698094369e-05 3.132577169315415850e-04 1.635600000000000023e+02
4.310997569653287620e+00 -3.303655712630262226e-02 -2.449790309178611665e+02 4.413728376046249568e-05 3.145192761547258519e-04 1.654399999999999977e+02
4.310996899477066435e+00 -3.303662568029042818e-02 -2.442828112057331396e+02 4.418356280931484556e-05 3.157409419439691765e-04 1.673199999999999932e+02
4.310996250807605179e+00 -3.303669004367612572e-02 -2.435865914936052263e+02 4.422701288971562329e-05 3.169234030118504419e-04 1.691999999999999886e+02
4.310995623258034648e+00 -3.303675041473914248e-02 -2.428903717814772278e+02 4.426776785489076313e-05 3.180673645805750420e-04 1.710799999999999841e+02
4.310995016432957350e+00 -3.303680698522656195e-02 -2.421941520693493146e+02 4.430595714829461989e-05 3.191735474230774239e-04 1.729599999999999795e+02
4.310994429928631355e+00 -3.303685994046298702e-02 -2.414979323572213161e+02 4.434170587813328286e-05 3.202426875215201715e-04 1.748400000000000034e+02
4.310993863333514753e+00 -3.303690945946504559e-02 -2.408017126450933461e+02 4.437513489361995017e-05 3.212755350750881762e-04 1.767199999999999989e+02
4.310993316228514338e+00 -3.303695571505384232e-02 -2.401054929329653760e+02 4.440636086223541276e-05 3.222728540512154031e-04 1.785999999999999943e+02
4.310992788187544278e+00 -3.303699887397337082e-02 -2.394092732208374343e+02 4.443549634827486972e-05 3.232354211607457142e-04 1.804799999999999898e+02
4.310992278777830755e+00 -3.303703909700632380e-02 -2.387130535087094643e+02 4.446264989213028667e-05 3.241640253111083476e-04 1.823599999999999852e+02
4.310991787560484845e+00 -3.303707653909378206e-02 -2.380168337965814942e+02 4.448792609065154211e-05 3.250594665514982737e-04 1.842399999999999807e+02
4.310991314090853344e+00 -3.303711134945561123e-02 -2.373206140844535526e+02 4.451142567818819524e-05 3.259225554424155600e-04 1.861199999999999761e+02
