# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -1.006579841461397610e-08 1.278545223553528229e-08 1.641611480321236412e-03 1.627231042571396291e-08 -2.237736166876243438e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -1.147042882318373233e-08 1.502653015756403840e-08 1.641611480321236412e-03 1.890416213334792747e-08 -2.222783761957309423e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -1.353713363107382747e-08 1.727580252713851564e-08 -2.597581771475799065e-02 2.194783223697127606e-08 -2.235450322331733020e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -1.607365140522881405e-08 1.954854843233992326e-08 -3.432528092396690961e-02 2.530825982378784579e-08 -2.258953514620623881e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -1.888328796146601639e-08 2.186078171920720784e-08 -3.154013263705721104e-02 2.888723492497112318e-08 -2.283246196738924372e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -2.177702034051633069e-08 2.423273820992523290e-08 -2.260866669355756156e-02 3.258011995162129941e-08 -2.302871238750723304e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -2.456513200306063212e-08 2.669182833253984758e-08 -1.017751674308771219e-02 3.627532784223418855e-08 -2.314727395572895752e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -2.706785733870624959e-08 2.927489845792151232e-08 3.705028710323083306e-03 3.987089891926402666e-08 -2.317042814304823395e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -2.917289710687093062e-08 3.202855312692329621e-08 1.637957785120028667e-02 4.332304399522529945e-08 -2.309568367528641808e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -3.091257902700762739e-08 3.500181958915036168e-08 2.497629152973749808e-02 4.669812540833327816e-08 -2.294235244352142988e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -3.246603156095790011e-08 3.823405461696987263e-08 2.839233717302579521e-02 5.015860980699673439e-08 -2.274790394530926019e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -3.403579889388033081e-08 4.175457843845337372e-08 2.792500992373136634e-02 5.386910456762411219e-08 -2.254700634725654851e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -3.576628837732130502e-08 4.560131369759642647e-08 2.485175557481506675e-02 5.795435441134949156e-08 -2.235906509790384522e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -3.784395444777516950e-08 4.985371124769344561e-08 1.894068573054799934e-02 6.259039393879605265e-08 -2.220096070501310415e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -4.058472394513823897e-08 5.465355186549089372e-08 1.057064185523500129e-02 6.807444857813377700e-08 -2.209532752256727850e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -4.430283727925697622e-08 6.018146145140018224e-08 2.129791746674744839e-03 7.472984473032636356e-08 -2.205377092042391407e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -4.913850131747245899e-08 6.658416429857173730e-08 -3.914342359241339275e-03 8.275290476512856281e-08 -2.206567146263203050e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -5.500634696816253732e-08 7.387444087647911950e-08 -6.158163466149335630e-03 9.210391534345482494e-08 -2.210827576663433991e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -6.149480353673166083e-08 8.184896335813753946e-08 -3.541335130035390931e-03 1.023760893217892278e-07 -2.215142015854481894e+00 3.383999999999999631e+01
-2.930181910546905328e+02 -6.774485840996089239e-08 9.005203680630491931e-08 4.016316257484122375e-03 1.126886647979722261e-07 -2.215758671312997752e+00 3.571999999999999886e+01
-2.923219713425625628e+02 -7.262559214618921150e-08 9.779806240434345924e-08 1.467000116145693658e-02 1.218151782194176312e-07 -2.209549538757280995e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -7.513421035463707496e-08 1.042404299158435151e-07 2.611620466592463538e-02 1.284959796828474072e-07 -2.195331583341904924e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -7.459014918114938380e-08 1.084713787245951424e-07 3.780447633270114099e-02 1.316424337259102443e-07 -2.173184305768510960e+00 4.135999999999999943e+01
-2.902333122061786526e+02 -7.057227717220524308e-08 1.096447075972788467e-07 5.122805110406594004e-02 1.303932828383553716e-07 -2.142691140082901846e+00 4.323999999999999488e+01
-2.895370924940507393e+02 -6.290793071357214058e-08 1.071071469469713813e-07 6.915490717876487947e-02 1.242149293514419486e-07 -2.101852347783412345e+00 4.511999999999999744e+01
-2.888408727819227693e+02 -5.177606177357901385e-08 1.005297884027745421e-07 9.608430246812886544e-02 1.130796132337217116e-07 -2.046397120946430448e+00 4.700000000000000000e+01
-2.881446530697947992e+02 -3.776398135019293132e-08 9.000587688559779380e-08 1.408370071274293311e-01 9.760725465539489617e-08 -1.968060776974658976e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -2.183610383995484633e-08 7.608230440152577471e-08 2.225685921248421462e-01 7.915385318451476347e-08 -1.850290119827985302e+00 5.075999999999999801e+01
-2.867522136455388591e+02 -5.227982609051945778e-09 5.969787317288180565e-08 3.809680170844044200e-01 5.992635366452752276e-08 -1.658147494698891666e+00 5.264000000000000057e+01
-2.860559939334108890e+02 1.077980378326536022e-08 4.204500830039290876e-08 6.375586121391380034e-01 4.340491783871743347e-08 -1.319815233459056270e+00 5.451999999999999602e+01
-2.853597742212829758e+02 2.514460512535299910e-08 2.440075372930239723e-08 7.965432214205790951e-01 3.503780742951809298e-08 -7.703857478824645000e-01 5.639999999999999858e+01
-2.846635545091550057e+02 3.722296588699163451e-08 7.960144417091888585e-09 6.493673833163590148e-01 3.806459100745865023e-08 -2.106770488292261378e-01 5.827999999999999403e+01
-2.839673347970270356e+02 4.674513457638933966e-08 -6.292995959824190906e-09 3.795510672470268076e-01 4.716682525584177065e-08 1.338189974731422704e-01 6.015999999999999659e+01
