# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 8.556303060832445097e-09 -1.864753642380069317e-08 1.718131717969401673e-01 2.051684519476091723e-08 1.140612431376142100e+00 0.000000000000000000e+00
-3.055501458729938236e+02 7.430801082655360894e-09 -2.446909977431703889e-08 1.718131717969401673e-01 2.557251744540365111e-08 1.275965884056103672e+00 1.879999999999999893e+00
-3.048539261608659103e+02 5.846160263742319281e-09 -3.024406679206125400e-08 1.341278511073155655e-01 3.080391478289767197e-08 1.379851865392657695e+00 3.759999999999999787e+00
-3.041577064487379403e+02 3.903409985379904722e-09 -3.598004915830100249e-08 1.054654290623035506e-01 3.619116669779685554e-08 1.462730791828658505e+00 5.639999999999999680e+00
-3.034614867366099702e+02 1.839121378970175956e-09 -4.168563159595309020e-08 7.789360607875776832e-02 4.172618181669762759e-08 1.526706086715075683e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -1.878372291442853315e-11 -4.736271255021676650e-08 4.986514411172379702e-02 4.736271627496365746e-08 1.571192919830181722e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -1.343377946236120731e-09 -5.299450868046491186e-08 2.296762160613595102e-02 5.301153284513007602e-08 1.596140279272443063e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -1.895929610525615177e-09 -5.853633957401273594e-08 -6.265135515765076499e-04 5.856703509494224770e-08 1.603173941635957611e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -1.564515471663333833e-09 -6.391919815803253350e-08 -1.940436082021531825e-02 6.393834218860310527e-08 1.595267897103397337e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -3.701476426405484830e-10 -6.907970370555536520e-08 -3.279094187980222813e-02 6.908069537377769348e-08 1.576154544627402787e+00 1.691999999999999815e+01
-2.992841684638422066e+02 1.568261057212188427e-09 -7.400599207698878848e-08 -4.129860669859989480e-02 7.402260672283094511e-08 1.549608496871476060e+00 1.879999999999999716e+01
-2.985879487517142366e+02 4.111177071499230367e-09 -7.876585987011239484e-08 -4.586484734981562117e-02 7.887307815719761467e-08 1.518648736493432461e+00 2.067999999999999972e+01
-2.978917290395862665e+02 7.118226349784289298e-09 -8.349088177413594989e-08 -4.640740861072366330e-02 8.379377355024363998e-08 1.485744475234112905e+00 2.255999999999999872e+01
-2.971955093274582964e+02 1.035896826508807145e-08 -8.831122660674124263e-08 -4.195352471482274165e-02 8.891670803794023455e-08 1.454029231166307001e+00 2.443999999999999773e+01
-2.964992896153303263e+02 1.347494982074223424e-08 -9.327668953524036307e-08 -3.272443253157333171e-02 9.424497378282378924e-08 1.427326733434698403e+00 2.632000000000000028e+01
-2.958030699032023563e+02 1.609956792093551263e-08 -9.830294286219748886e-08 -2.081528440299756574e-02 9.961257281392384803e-08 1.408462441172941171e+00 2.819999999999999929e+01
-2.951068501910743862e+02 1.797015371133871966e-08 -1.031677635759004289e-07 -8.522422598304666211e-03 1.047211242570572693e-07 1.398342710804865163e+00 3.007999999999999829e+01
-2.944106304789464161e+02 1.892397576489342924e-08 -1.075320025688854793e-07 2.445258769829361783e-03 1.091844697529143527e-07 1.396595483956892148e+00 3.195999999999999730e+01
-2.937144107668185029e+02 1.893749265865841891e-08 -1.109547024310768193e-07 1.024133364219410869e-02 1.125592049535067832e-07 1.401747585518483108e+00 3.383999999999999631e+01
-2.930181910546905328e+02 1.821531911661270380e-08 -1.129153814274002732e-07 1.357341653602681456e-02 1.143751774355577983e-07 1.410855920677241748e+00 3.571999999999999886e+01
-2.923219713425625628e+02 1.707540114618262801e-08 -1.128674571478544756e-07 1.345089326096047221e-02 1.141517945865321160e-07 1.420647745825094121e+00 3.759999999999999432e+01
-2.916257516304345927e+02 1.568413012375978716e-08 -1.103296327722855168e-07 1.275674079292560791e-02 1.114388612890781917e-07 1.429585474745261431e+00 3.947999999999999687e+01
-2.909295319183066226e+02 1.398040364872669829e-08 -1.049860077165012759e-07 1.400880760431135602e-02 1.059127636426818853e-07 1.438410734630177545e+00 4.135999999999999943e+01
-2.902333122061786526e+02 1.183384503382023276e-08 -9.675374309017204532e-08 1.860072431348320718e-02 9.747474898784546802e-08 1.449091890740320743e+00 4.323999999999999488e+01
-2.895370924940507393e+02 9.170713275285037210e-09 -8.579618214083130553e-08 2.829541368250384353e-02 8.628491671155618925e-08 1.464311116483987263e+00 4.511999999999999744e+01
-2.888408727819227693e+02 5.977984045558943100e-09 -7.246819723203906173e-08 4.786107568873643192e-02 7.271434454982503639e-08 1.488491540277469660e+00 4.700000000000000000e+01
-2.881446530697947992e+02 2.281440696046861406e-09 -5.723253121635106759e-08 9.212683657387642222e-02 5.727798530919341972e-08 1.530954765160280617e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -1.868270950807040930e-09 -4.060692769905172613e-08 2.222136486493047625e-01 4.064988331473589925e-08 1.616772579554917710e+00 5.075999999999999801e+01
