# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 1.128263302766290224e+02 2.777151875345412435e+01 7.596803797718513270e-04 1.161939673888641664e+02 -2.413461610650854960e-01 0.000000000000000000e+00
-3.055501458729938236e+02 1.105268991463752997e+02 2.715282518530651146e+01 7.596803797718513270e-04 1.138133179836913200e+02 -2.408965209392240903e-01 1.879999999999999893e+00
-3.048539261608659103e+02 1.082603330117905926e+02 2.652620064103027886e+01 8.413792800209629694e-04 1.114627248198786589e+02 -2.402883521544574574e-01 3.759999999999999787e+00
-3.041577064487379403e+02 1.060180136599635574e+02 2.591347439864824409e+01 8.416085821650082406e-04 1.091390277389972709e+02 -2.397249512589708365e-01 5.639999999999999680e+00
-3.034614867366099702e+02 1.038034492734438601e+02 2.530525223643803656e+01 8.705057934809766040e-04 1.068433988218934445e+02 -2.391164631848587685e-01 7.519999999999999574e+00
-3.027652670244820001e+02 1.016146938921038156e+02 2.470670217873378149e+01 8.877704426537894565e-04 1.045751746225394072e+02 -2.385128246730847390e-01 9.399999999999998579e+00
-3.020690473123540301e+02 9.945291981225068412e+01 2.411447076433896086e+01 9.130768810993249813e-04 1.023347006612425645e+02 -2.378802966208184988e-01 1.127999999999999936e+01
-3.013728276002260600e+02 9.731726592118485542e+01 2.353081732967607564e+01 9.353796764978625743e-04 1.001216740300380224e+02 -2.372414204264653992e-01 1.316000000000000014e+01
-3.006766078880981468e+02 9.520829359846942452e+01 2.295401696094593902e+01 9.616754612287811308e-04 9.793623468653341035e+01 -2.365778370826151222e-01 1.503999999999999915e+01
-2.999803881759701767e+02 9.312550181790373927e+01 2.238532015612245729e+01 9.873994181568421843e-04 9.577818983113273532e+01 -2.359023456009109454e-01 1.691999999999999815e+01
-2.992841684638422066e+02 9.106920219870158917e+01 2.182366795957744898e+01 1.015882310106559858e-03 9.364759512298155641e+01 -2.352029432052861746e-01 1.879999999999999716e+01
-2.985879487517142366e+02 8.903905283659253200e+01 2.126984477165026277e+01 1.044818080788575574e-03 9.154430198896933746e+01 -2.344877910219143879e-01 2.067999999999999972e+01
-2.978917290395862665e+02 8.703523673001322436e+01 2.072312757440107944e+01 1.076087419371798016e-03 8.946832092486336308e+01 -2.337480973184207500e-01 2.255999999999999872e+01
-2.971955093274582964e+02 8.505749373017546588e+01 2.018404743526675915e+01 1.108384707672279519e-03 8.741952305136388190e+01 -2.329894044752352789e-01 2.443999999999999773e+01
-2.964992896153303263e+02 8.310593015890698609e+01 1.965207398781197412e+01 1.142904649373548999e-03 8.539789013552712049e+01 -2.322047387542154895e-01 2.632000000000000028e+01
-2.958030699032023563e+02 8.118033167917020876e+01 1.912758527638476380e+01 1.178858958263419862e-03 8.340330191332628829e+01 -2.313979789832821543e-01 2.819999999999999929e+01
-2.951068501910743862e+02 7.928075395929928959e+01 1.861017144589642669e+01 1.217079065439237396e-03 8.143571961738047094e+01 -2.305632490650922350e-01 3.007999999999999829e+01
-2.944106304789464161e+02 7.740700958141427179e+01 1.810011097136732161e+01 1.257076302946093758e-03 7.949502594196049188e+01 -2.297032701101280050e-01 3.195999999999999730e+01
-2.937144107668185029e+02 7.555911803757093992e+01 1.759707427956593406e+01 1.299475433627480083e-03 7.758116615401021932e+01 -2.288128464615722113e-01 3.383999999999999631e+01
-2.930181910546905328e+02 7.373690794020843953e+01 1.710127137459033264e+01 1.343978084689522986e-03 7.569402271784844061e+01 -2.278938292854930381e-01 3.571999999999999886e+01
-2.923219713425625628e+02 7.194037128072432097e+01 1.661242878323143302e+01 1.391086928775058093e-03 7.383352768279733880e+01 -2.269414383911145527e-01 3.759999999999999432e+01
-2.916257516304345927e+02 7.016934599221694668e+01 1.613070737039993219e+01 1.440634986610538374e-03 7.199956136842034482e+01 -2.259568250032995551e-01 3.947999999999999687e+01
-2.909295319183066226e+02 6.842380211126082656e+01 1.565587436800653087e+01 1.493052909996910212e-03 7.019204440381962229e+01 -2.249354414397956303e-01 4.135999999999999943e+01
-2.902333122061786526e+02 6.670358257863352947e+01 1.518805415964739147e+01 1.548272098260329837e-03 6.841085380245569070e+01 -2.238778392689198260e-01 4.323999999999999488e+01
