# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 1.907621746796347439e-01 -2.213138468307261630e-02 -2.172248390488215435e-03 1.920416764051324776e-01 1.154992369590362861e-01 0.000000000000000000e+00
-3.055501458729938236e+02 1.849877191047840930e-01 -2.117157808029882307e-02 -2.172248390488215435e-03 1.861953058967940056e-01 1.139527504208306258e-01 1.879999999999999893e+00
-3.048539261608659103e+02 1.794163121520336024e-01 -2.026528988800231981e-02 -2.153002805236149675e-03 1.805571794210374947e-01 1.124745126608440171e-01 3.759999999999999787e+00
-3.041577064487379403e+02 1.738499831465447620e-01 -1.936904359413505958e-02 -2.176816450271872559e-03 1.749256313117246164e-01 1.109548244342862117e-01 5.639999999999999680e+00
-3.034614867366099702e+02 1.683745202069810154e-01 -1.850141280285438894e-02 -2.186948369605776731e-03 1.693879609967387512e-01 1.094434276161166258e-01 7.519999999999999574e+00
-3.027652670244820001e+02 1.629455790599826925e-01 -1.765196664829873918e-02 -2.205302254237928149e-03 1.638989129364368802e-01 1.079096313056349121e-01 9.399999999999998579e+00
-3.020690473123540301e+02 1.575941721727305567e-01 -1.682722955298479595e-02 -2.221088065231452587e-03 1.584899957638875312e-01 1.063726778149152730e-01 1.127999999999999936e+01
-3.013728276002260600e+02 1.523019078594001763e-01 -1.602253461192185841e-02 -2.240729333314322655e-03 1.531423937157946336e-01 1.048169007188623214e-01 1.316000000000000014e+01
-3.006766078880981468e+02 1.470852284266079002e-01 -1.524113289876300251e-02 -2.260372489714725878e-03 1.478727715076213201e-01 1.032525979521217163e-01 1.503999999999999915e+01
-2.999803881759701767e+02 1.419345513405150527e-01 -1.448033775318213236e-02 -2.282876517789187917e-03 1.426712901942066847e-01 1.016694689506800198e-01 1.691999999999999815e+01
-2.992841684638422066e+02 1.368603506145952275e-01 -1.374204469230018606e-02 -2.306504416484845763e-03 1.375485345711655039e-01 1.000738306880439715e-01 1.879999999999999716e+01
-2.985879487517142366e+02 1.318570334147585454e-01 -1.302446694343661546e-02 -2.332876245356868290e-03 1.324987320697878501e-01 9.845780126894611295e-02 2.067999999999999972e+01
-2.978917290395862665e+02 1.269320457498851196e-01 -1.232880370900306562e-02 -2.361155414208746493e-03 1.275293834343523280e-01 9.682544183209892963e-02 2.255999999999999872e+01
-2.971955093274582964e+02 1.220819257235529059e-01 -1.165374641823020870e-02 -2.392431564123766348e-03 1.226368883898784484e-01 9.517003538340652880e-02 2.443999999999999773e+01
-2.964992896153303263e+02 1.173123536192088867e-01 -1.100008577959003635e-02 -2.426326061684834674e-03 1.178269502229292998e-01 9.349412580237873027e-02 2.632000000000000028e+01
-2.958030699032023563e+02 1.126210947168385934e-01 -1.036679398562261739e-02 -2.463663503669838960e-03 1.130972209771728826e-01 9.179152331901695161e-02 2.819999999999999929e+01
-2.951068501910743862e+02 1.080126504393144199e-01 -9.754399094999133962e-03 -2.504336229394880063e-03 1.084522058633666103e-01 9.006362361176836751e-02 3.007999999999999829e+01
-2.944106304789464161e+02 1.034854923845576619e-01 -9.162049535672430259e-03 -2.549045475103086864e-03 1.038902800350853806e-01 8.830438682161509401e-02 3.195999999999999730e+01
-2.937144107668185029e+02 9.904324511800341457e-02 -8.590092464415846618e-03 -2.597896399129450990e-03 9.941505968439651175e-02 8.651423219801365749e-02 3.383999999999999631e+01
-2.930181910546905328e+02 9.468478008224333331e-02 -8.037792020338321505e-03 -2.651580097792656521e-03 9.502533177939972986e-02 8.468697345533474086e-02 3.571999999999999886e+01
-2.923219713425625628e+02 9.041304007739191240e-02 -7.505363765445566444e-03 -2.710428314403770349e-03 9.072402273536893380e-02 8.282206753327478466e-02 3.759999999999999432e+01
-2.916257516304345927e+02 8.622713304161001846e-02 -6.992150094174413855e-03 -2.775227330910652081e-03 8.651016492594947038e-02 8.091286621373940113e-02 3.947999999999999687e+01
-2.909295319183066226e+02 8.212947252710096901e-02 -6.498266561438448621e-03 -2.846582248902036847e-03 8.238615008533499429e-02 7.895773158644224521e-02 4.135999999999999943e+01
-2.902333122061786526e+02 7.811931764565278880e-02 -6.023109535328256131e-03 -2.925476460562799908e-03 7.835116870792012411e-02 7.694917286598111639e-02 4.323999999999999488e+01
-2.895370924940507393e+02 7.419866773739727805e-02 -5.566715873585975985e-03 -3.012866940618750752e-03 7.440719467646869645e-02 7.488418282802192238e-02 4.511999999999999744e+01
-2.888408727819227693e+02 7.036688251115338910e-02 -5.128519663094897353e-03 -3.110056828807645710e-03 7.055352484655330603e-02 7.275393815782622842e-02 4.700000000000000000e+01
-2.881446530697947992e+02 6.662562679370673258e-02 -4.708494222677301645e-03 -3.218478901924610829e-03 6.679179637874159414e-02 7.055361708791380027e-02 4.887999999999999545e+01
-2.874484333576668291e+02 6.297431888605667383e-02 -4.306100465371300728e-03 -3.339933002656789510e-03 6.312136991844066736e-02 6.827240124865048554e-02 5.075999999999999801e+01
-2.867522136455388591e+02 5.941434184685270153e-02 -3.921259738111000127e-03 -3.476550793858237953e-03 5.954359995019114365e-02 6.590296270064101292e-02 5.264000000000000057e+01
