# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -3.403139238983370896e-01 -6.693838378396402833e-01 1.051761069622744564e-02 7.509249557445863976e-01 2.041140359537737758e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -3.299328982369845176e-01 -6.375834228265579995e-01 1.051761069622744564e-02 7.178915923747023475e-01 2.048325280244343016e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -3.195398133907073612e-01 -6.063732802717265447e-01 1.096321490559987177e-02 6.854153830847844464e-01 2.055785495320140654e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -3.093353548622588822e-01 -5.760615745930268705e-01 1.146455056949541480e-02 6.538618351688353370e-01 2.063590892895490470e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -2.992377910466352819e-01 -5.465127426290702362e-01 1.199892465502670237e-02 6.230725747827600136e-01 2.071749187514481783e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -2.892965599456516212e-01 -5.177979167037594088e-01 1.258007771054445341e-02 5.931333594893659633e-01 2.080298668633826065e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -2.794843945076146974e-01 -4.898664264958135228e-01 1.320871339785974728e-02 5.639863851025717079e-01 2.089266183678847089e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -2.698243372391215256e-01 -4.627471246228723745e-01 1.389305720915360795e-02 5.356678768726638173e-01 2.098691001912703413e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -2.603036167414548574e-01 -4.364116219418580633e-01 1.463830877259675659e-02 5.081467078065206033e-01 2.108611424260315559e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -2.509360293315622270e-01 -4.108735109320610368e-01 1.545318234177377181e-02 4.814415154536728636e-01 2.119073960152098479e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -2.417146033829604135e-01 -3.861130092587544138e-01 1.634591421916570600e-02 4.555317830925004197e-01 2.130129044583216835e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -2.326487657382590168e-01 -3.621361958588637520e-01 1.732745176069795320e-02 4.304277785536902989e-01 2.141834655536370313e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -2.237343654550882355e-01 -3.389272195948085376e-01 1.840951823363720305e-02 4.061141791022058745e-01 2.154256471536705408e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -2.149783632924552879e-01 -3.164877037997221865e-01 1.960672699540926683e-02 3.825966065457501730e-01 2.167468794506445029e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -2.063781341778309908e-01 -2.948037166373008722e-01 2.093553323287716122e-02 3.598627038328489625e-01 2.181557651185736191e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -1.979390666375052954e-01 -2.738738872249566469e-01 2.241606318373622411e-02 3.379153447315392245e-01 2.196620256347723288e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -1.896594096856582534e-01 -2.536852073869321211e-01 2.407156985860866433e-02 3.167441808925037239e-01 2.212770661299382269e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -1.815434547795517772e-01 -2.342341070701308980e-01 2.593038378323259119e-02 2.963505405566804196e-01 2.230138459222580583e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -1.735899600734665538e-01 -2.155079611239384130e-01 2.802576529547077047e-02 2.767257768009779295e-01 2.248877149965241795e+00 3.383999999999999631e+01
-2.930181910546905328e+02 -1.658023930464367079e-01 -1.975014769394862757e-01 3.039829343849083376e-02 2.578706399208787747e-01 2.269162639714937590e+00 3.571999999999999886e+01
-2.923219713425625628e+02 -1.581797974721382838e-01 -1.802021010079225549e-01 3.309612974213609060e-02 2.397783258261601269e-01 2.291204932179096598e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -1.507249811506703729e-01 -1.636031281073714594e-01 3.617815529172450223e-02 2.224500021788872184e-01 2.315246995558176923e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -1.434371266270843270e-01 -1.476918924265175626e-01 3.971467896282522558e-02 2.058812871136186384e-01 2.341580821904146958e+00 4.135999999999999943e+01
-2.902333122061786526e+02 -1.363184881209936472e-01 -1.324604948788384862e-01 4.379154408825827044e-02 1.900750191559645585e-01 2.370547280267682133e+00 4.323999999999999488e+01
-2.895370924940507393e+02 -1.293682909105008938e-01 -1.178960529195499374e-01 4.851102183513166660e-02 1.750303801833079098e-01 2.402557894341679212e+00 4.511999999999999744e+01
-2.888408727819227693e+02 -1.225883103262846857e-01 -1.039896432467516674e-01 5.399652859678964745e-02 1.607536616417808428e-01 2.438095939581859550e+00 4.700000000000000000e+01
-2.881446530697947992e+02 -1.159777488016851404e-01 -9.072811634161669081e-02 6.039215082858356148e-02 1.472495477480481318e-01 2.477744789532811520e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -1.095379550957010228e-01 -7.810166658625276870e-02 6.786524223045961590e-02 1.345304200918810977e-01 2.522188351311189347e+00 5.075999999999999801e+01
-2.867522136455388591e+02 -1.032680614703608835e-01 -6.609686306045582660e-02 7.659845875019420658e-02 1.226094932143465266e-01 2.572243028351181682e+00 5.264000000000000057e+01
-2.860559939334108890e+02 -9.716902788597961416e-02 -5.470314106332412052e-02 8.677974182767196620e-02 1.115089844922830531e-01 2.628847065112200898e+00 5.451999999999999602e+01
-2.853597742212829758e+02 -9.123988172272259889e-02 -4.390679758343579014e-02 9.856800025922562991e-02 1.012547425595918121e-01 2.693078562098782935e+00 5.639999999999999858e+01
-2.846635545091550057e+02 -8.548122166074921535e-02 -3.369662053819064834e-02 1.120420168794401400e-01 9.188308599687404488e-02 2.766097034643214769e+00 5.827999999999999403e+01
-2.839673347970270356e+02 -7.989194249898159961e-02 -2.405866238822444020e-02 1.271012473665375231e-01 8.343585387692240007e-02 2.849090283574863047e+00 6.015999999999999659e+01
-2.832711150848990656e+02 -7.447230016339309588e-02 -1.498116838254985941e-02 1.433391543106309340e-01 7.596419484028532620e-02 2.943077822348486361e+00 6.203999999999999915e+01
-2.825748953727710955e+02 -6.922103437796869874e-02 -6.449985478715797131e-03 1.598858601889759368e-01 6.952088832165172205e-02 3.048681373076489010e+00 6.391999999999999460e+01
-2.818786756606431254e+02 -6.413807406653770915e-02 1.547088621272781116e-03 1.753254766941467480e-01 6.415673018605880240e-02 3.165709197456687107e+00 6.579999999999999716e+01
-2.811824559485152122e+02 -5.922199107327883599e-02 9.024372189426874483e-03 1.877862490523974359e-01 5.990562177372686647e-02 3.292811478901882083e+00 6.767999999999999261e+01
-2.804862362363871853e+02 -5.447240642864781962e-02 1.599443446166652627e-02 1.953448840646649087e-01 5.677204414037192309e-02 3.427190173970387388e+00 6.956000000000000227e+01
-2.797900165242592720e+02 -4.988772069443576929e-02 2.247172333675482095e-02 1.966511572619520365e-01 5.471529060335590666e-02 3.564817396800224802e+00 7.143999999999999773e+01
-2.790937968121312451e+02 -4.546726719261916239e-02 2.846910721443009218e-02 1.914808685666124777e-01 5.364478028244442503e-02 3.701014998167480474e+00 7.331999999999999318e+01
-2.783975771000033319e+02 -4.120927559531403772e-02 3.400112984219190448e-02 1.808338024941618383e-01 5.342547356492161059e-02 3.831442907183142399e+00 7.519999999999998863e+01
-2.777013573878753618e+02 -3.711281002205382706e-02 3.908089644970270948e-02 1.665081375993397450e-01 5.389505668468533295e-02 3.952815113998461083e+00 7.707999999999999829e+01
-2.770051376757473918e+02 -3.317593190150992799e-02 4.372300905357461714e-02 1.504569101839829393e-01 5.488482466249293423e-02 4.063295402435893600e+00 7.895999999999999375e+01
-2.763089179636194217e+02 -2.939745367175132171e-02 4.794074688178127236e-02 1.342816132497493264e-01 5.623633606455692019e-02 4.162317247390371122e+00 8.083999999999998920e+01
-2.756126982514914516e+02 -2.577527274025539009e-02 5.174872632046444848e-02 1.190432217037796364e-01 5.781258825398567086e-02 4.250274414677531531e+00 8.271999999999999886e+01
-2.749164785393634816e+02 -2.230796549057763659e-02 5.516033538406672765e-02 1.052949903632076079e-01 5.950048675440837431e-02 4.328077722481152634e+00 8.459999999999999432e+01
-2.742202588272355683e+02 -1.899326922225344494e-02 5.819015510646938227e-02 9.323080755495484484e-02 6.121142399147372348e-02 4.396891310435909084e+00 8.647999999999998977e+01
-2.735240391151075983e+02 -1.582953743810861305e-02 6.085161517834947881e-02 8.282236111164290038e-02 6.287681071204562211e-02 4.457895974475889034e+00 8.835999999999999943e+01
-2.728278194029796282e+02 -1.281435150860305190e-02 6.315920766830021571e-02 7.393324079661915682e-02 6.444604811680471057e-02 4.512216431257721538e+00 9.023999999999999488e+01
-2.721315996908516581e+02 -9.945855539039575102e-03 6.512633677477279448e-02 6.638169086428777343e-02 6.588140696816187358e-02 4.560843533724107779e+00 9.211999999999999034e+01
-2.714353799787236881e+02 -7.221482565048648050e-03 6.676735098418198899e-02 5.998322947466735305e-02 6.715674923551800957e-02 4.604648914665925297e+00 9.400000000000000000e+01
-2.707391602665957180e+02 -4.639183424999173723e-03 6.809556429973759317e-02 5.456511047696890188e-02 6.825340943975241603e-02 4.644366547238824694e+00 9.587999999999999545e+01
