# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 3.333107697616577388e-08 1.292436243311869724e-08 -4.247105693396827086e-02 3.574912357937880858e-08 -3.699078221408413358e-01 0.000000000000000000e+00
-3.055501458729938236e+02 3.426817792939855649e-08 1.459219776426377865e-08 -4.247105693396827086e-02 3.724567430175352549e-08 -4.025680093367967616e-01 1.879999999999999893e+00
-3.048539261608659103e+02 3.556396259331793378e-08 1.626934309732192681e-08 -3.441324920709010193e-02 3.910865582140729112e-08 -4.290461962055167056e-01 3.759999999999999787e+00
-3.041577064487379403e+02 3.714493031218410775e-08 1.796533396381508964e-08 -2.900550243284912011e-02 4.126135083014637972e-08 -4.504863742494929491e-01 5.639999999999999680e+00
-3.034614867366099702e+02 3.882368231438645135e-08 1.969349971821808243e-08 -2.773175857245799986e-02 4.353288687417661453e-08 -4.694346013133669504e-01 7.519999999999999574e+00
-3.027652670244820001e+02 4.034379367885530732e-08 2.147234463572377929e-08 -3.089346456745346164e-02 4.570211453048251182e-08 -4.891011681897306507e-01 9.399999999999998579e+00
-3.020690473123540301e+02 4.146176817161596550e-08 2.332565157930291339e-08 -3.782937102559814219e-02 4.757272581549078388e-08 -5.124518793289426499e-01 1.127999999999999936e+01
-3.013728276002260600e+02 4.201460668655327392e-08 2.528635319294935300e-08 -4.765038244848087551e-02 4.903699453294774617e-08 -5.417762758005782997e-01 1.316000000000000014e+01
-3.006766078880981468e+02 4.192244092894811830e-08 2.739454472599853175e-08 -5.992377556319740395e-02 5.007945820579410086e-08 -5.788021504310799648e-01 1.503999999999999915e+01
-2.999803881759701767e+02 4.113443394136682659e-08 2.969139772942075341e-08 -7.437364543934577021e-02 5.073086589841851807e-08 -6.252165033450380882e-01 1.691999999999999815e+01
-2.992841684638422066e+02 3.963714578805476715e-08 3.220823381345718106e-08 -8.897991499996737996e-02 5.107321853580244351e-08 -6.823629464664567879e-01 1.879999999999999716e+01
-2.985879487517142366e+02 3.760045398385025641e-08 3.496639017533165984e-08 -9.883977546701806782e-02 5.134630056474537224e-08 -7.491156449579338128e-01 2.067999999999999972e+01
-2.978917290395862665e+02 3.544937481587334683e-08 3.799092235826496046e-08 -9.937748833527279557e-02 5.196121973614545360e-08 -8.199913465113363165e-01 2.255999999999999872e+01
-2.971955093274582964e+02 3.365435056406032659e-08 4.133730747554534347e-08 -9.101324873551061567e-02 5.330467429050143236e-08 -8.874927775995008483e-01 2.443999999999999773e+01
-2.964992896153303263e+02 3.248099936613439982e-08 4.510760069721402204e-08 -7.826939667095376973e-02 5.558516852976274613e-08 -9.467217821802720312e-01 2.632000000000000028e+01
-2.958030699032023563e+02 3.198774638251479832e-08 4.943416376071383146e-08 -6.561689378183918619e-02 5.888083275016719480e-08 -9.964781712368623312e-01 2.819999999999999929e+01
-2.951068501910743862e+02 3.208596771703225584e-08 5.442366621151403083e-08 -5.608606644719696388e-02 6.317788195437332003e-08 -1.038089331979318297e+00 3.007999999999999829e+01
