# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -6.029014624475755859e-07 -6.640825879556347096e-08 5.072254009524961547e-03 6.065477971748672960e-07 3.031887114040591857e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -6.034932864555866446e-07 -6.432176068726424422e-08 5.072254009524961547e-03 6.069113903156493550e-07 3.035411113674716610e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -6.030086596217012759e-07 -6.211274049339262029e-08 5.118062034575102809e-03 6.061991719809259589e-07 3.038949920493294599e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -6.015162430900734100e-07 -5.977880273196142220e-08 5.240041835096415600e-03 6.044793594137546054e-07 3.042537705027446471e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -5.994149728221459831e-07 -5.732581527020980058e-08 5.508167168798986518e-03 6.021499470561864962e-07 3.046246361329233210e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -5.975802961754074968e-07 -5.476250064928651294e-08 5.987424722208486462e-03 6.000842789595898794e-07 3.050207494148674314e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -5.973447278207939001e-07 -5.210602421264671934e-08 6.653464826703303463e-03 5.996130098776604047e-07 3.054583487562200883e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -6.000044920025261321e-07 -4.938379785593792921e-08 7.322354480751872875e-03 6.020333461809948070e-07 3.059472040881276111e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -6.058794359780094781e-07 -4.663130562072376677e-08 7.696012789312344123e-03 6.076712677138225950e-07 3.064779422619576810e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -6.134671116285700764e-07 -4.387883812377266958e-08 7.553549268295182625e-03 6.150343482156039966e-07 3.070188272498692417e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -6.196445435971704808e-07 -4.113985361306625359e-08 6.949810013099633199e-03 6.210087342099546790e-07 3.075297282413810507e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -6.214494782452703627e-07 -3.840912617514612820e-08 6.243703334715646446e-03 6.226352985374802160e-07 3.079865461952020933e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -6.186048282502281812e-07 -3.567196048544305626e-08 5.904589679972720509e-03 6.196324897060911909e-07 3.083991261090426761e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -6.147620626425778775e-07 -3.292452018260367829e-08 6.205823578324643451e-03 6.156430927849443920e-07 3.088087245406469616e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -6.161706516771601425e-07 -3.019194132726772379e-08 6.999171089604590452e-03 6.169099004792881845e-07 3.092632494500862972e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -6.288103416826419013e-07 -2.753399473368177898e-08 7.768955634282526806e-03 6.294128745688597758e-07 3.097833167168747348e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -6.561717834746772517e-07 -2.504008399623968478e-08 7.988236082607409749e-03 6.566493853152362149e-07 3.103450294611333149e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -6.984515403759408948e-07 -2.280300666729106464e-08 7.460904808140809454e-03 6.988236768789343263e-07 3.108956302020433604e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -7.525729437572854689e-07 -2.089189825214977051e-08 6.365548853551929176e-03 7.528628740269268888e-07 3.113839152606808991e+00 3.383999999999999631e+01
-2.930181910546905328e+02 -8.130992845698170020e-07 -1.933321594907567231e-08 5.062262267755458962e-03 8.133290968647819874e-07 3.117819943201146415e+00 3.571999999999999886e+01
-2.923219713425625628e+02 -8.741907771336354693e-07 -1.810236364113850328e-08 3.869013258202714991e-03 8.743781849948599979e-07 3.120888046164354890e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -9.311806157916465862e-07 -1.712200499832568155e-08 2.953155527585301244e-03 9.313380171995947711e-07 3.123207309794836739e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -9.806007599194367742e-07 -1.627212834679422062e-08 2.352688320950284059e-03 9.807357608018131448e-07 3.125000136346923973e+00 4.135999999999999943e+01
-2.902333122061786526e+02 -1.020007253785460561e-06 -1.541283767928412843e-08 2.049318759626154573e-03 1.020123695117550242e-06 3.126483285765914388e+00 4.323999999999999488e+01
-2.895370924940507393e+02 -1.048876855660243792e-06 -1.441138919075073684e-08 2.002806159008683161e-03 1.048975856003429123e-06 3.127853688580694680e+00 4.511999999999999744e+01
-2.888408727819227693e+02 -1.069153280503420905e-06 -1.317325676131391654e-08 2.138671615578170010e-03 1.069234432622203757e-06 3.129272072020860662e+00 4.700000000000000000e+01
-2.881446530697947992e+02 -1.084131121421470939e-06 -1.166677919439171406e-08 2.349893314970660264e-03 1.084193895099648255e-06 3.130831659253762833e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -1.096908465108294575e-06 -9.925644366020179601e-09 2.530098374933838472e-03 1.096953371498677504e-06 3.132544156115421252e+00 5.075999999999999801e+01
-2.867522136455388591e+02 -1.109479758804493446e-06 -8.030538766784805169e-09 2.611259879249035448e-03 1.109508821393395610e-06 3.134354667978266562e+00 5.264000000000000057e+01
-2.860559939334108890e+02 -1.121654696979844514e-06 -6.070988715367939558e-09 2.588914850411106004e-03 1.121671126561136318e-06 3.136180177318265372e+00 5.451999999999999602e+01
-2.853597742212829758e+02 -1.129970739861948172e-06 -4.105290471684907993e-09 2.523460300819889771e-03 1.129978197291441361e-06 3.137959575082020613e+00 5.639999999999999858e+01
-2.846635545091550057e+02 -1.128731362315422087e-06 -2.143136848837606443e-09 2.512308148046960964e-03 1.128733396914427025e-06 3.139693942926671699e+00 5.827999999999999403e+01
-2.839673347970270356e+02 -1.113633022785239939e-06 -1.501640556764659492e-10 2.639957459512854050e-03 1.113633032909420511e-06 3.141457811993240590e+00 6.015999999999999659e+01
-2.832711150848990656e+02 -1.085078756694201535e-06 1.928480149736024322e-09 2.933450451946368123e-03 1.085080470409785736e-06 3.143369923771655916e+00 6.203999999999999915e+01
-2.825748953727710955e+02 -1.048394704168624616e-06 4.140981905174301443e-09 3.344838411483988094e-03 1.048402882226082269e-06 3.145542464051632070e+00 6.391999999999999460e+01
-2.818786756606431254e+02 -1.011232918932597178e-06 6.507125947406639472e-09 3.766259120228763677e-03 1.011253854885624890e-06 3.148027408643571778e+00 6.579999999999999716e+01
-2.811824559485152122e+02 -9.803187733080239305e-07 9.013400986387109986e-09 4.076059068246179473e-03 9.803602086465413458e-07 3.150786751732602031e+00 6.767999999999999261e+01
-2.804862362363871853e+02 -9.592530082685711415e-07 1.161752515273142669e-08 4.201083578348278544e-03 9.593233556851295717e-07 3.153703073985793637e+00 6.956000000000000227e+01
-2.797900165242592720e+02 -9.481338612714199392e-07 1.426466212940226772e-08 4.150064016275408288e-03 9.482411610318961926e-07 3.156636506131688336e+00 7.143999999999999773e+01
-2.790937968121312451e+02 -9.448846880185717135e-07 1.690497134528951889e-08 3.983386048500536271e-03 9.450358996927781331e-07 3.159481786735241382e+00 7.331999999999999318e+01
-2.783975771000033319e+02 -9.471192404766447319e-07 1.950439278008076951e-08 3.762864585704434051e-03 9.473200499402385545e-07 3.162183129907651491e+00 7.519999999999998863e+01
-2.777013573878753618e+02 -9.531077349440117893e-07 2.204806886566900730e-08 3.535973565709907718e-03 9.533627178313665609e-07 3.164721347732512680e+00 7.707999999999999829e+01
-2.770051376757473918e+02 -9.614931044327290149e-07 2.453696082775567888e-08 3.347182593609366284e-03 9.618061407156588600e-07 3.167106758903672770e+00 7.895999999999999375e+01
-2.763089179636194217e+02 -9.706507893078028557e-07 2.698079061544079648e-08 3.240201773842983028e-03 9.710257040089594521e-07 3.169382096736037546e+00 8.083999999999998920e+01
-2.756126982514914516e+02 -9.786153377990234210e-07 2.939263003728139589e-08 3.238319489997053702e-03 9.790566408926527863e-07 3.171618543596115725e+00 8.271999999999999886e+01
-2.749164785393634816e+02 -9.836820333204291170e-07 3.178261192405772869e-08 3.329277774247681437e-03 9.841953449890569567e-07 3.173891260462245789e+00 8.459999999999999432e+01
-2.742202588272355683e+02 -9.851596373023517146e-07 3.416099714391656195e-08 3.469596193693446403e-03 9.857517358318817411e-07 3.176254361223277201e+00 8.647999999999998977e+01
-2.735240391151075983e+02 -9.836525966563156348e-07 3.653962642533156748e-08 3.605613319718264584e-03 9.843310292823320170e-07 3.178722462988592845e+00 8.835999999999999943e+01
-2.728278194029796282e+02 -9.805694171195971359e-07 3.893169263881944595e-08 3.707914379620583321e-03 9.813419681650174931e-07 3.181274959358275201e+00 9.023999999999999488e+01
-2.721315996908516581e+02 -9.771624928664698487e-07 4.135165014679941863e-08 3.785976103094449569e-03 9.780370629147326625e-07 3.183885509152541982e+00 9.211999999999999034e+01
-2.714353799787236881e+02 -9.738747621731710560e-07 4.380912772976193337e-08 3.867166730726620712e-03 9.748596268541912778e-07 3.186546701743514731e+00 9.400000000000000000e+01
-2.707391602665957180e+02 -9.705172175956328810e-07 4.630707425956874957e-08 3.958964333188109627e-03 9.716213330181931353e-07 3.189270304568576631e+00 9.587999999999999545e+01
-2.700429405544678048e+02 -9.669807466015128772e-07 4.884176635162860845e-08 4.033088346485635099e-03 9.682134488006074681e-07 3.192059319760268910e+00 9.775999999999999091e+01
-2.693467208423398347e+02 -9.637194423174649747e-07 5.140864435285092985e-08 4.050687897509455508e-03 9.650896394713205603e-07 3.194886135783730374e+00 9.964000000000000057e+01
-2.686505011302118646e+02 -9.615605819919565578e-07 5.400696625855562019e-08 4.003915854067019615e-03 9.630760641014615584e-07 3.197699657284117425e+00 1.015199999999999960e+02
-2.679542814180838946e+02 -9.610989772460302403e-07 5.664408905429025194e-08 3.937245656264824409e-03 9.627667406429015714e-07 3.200461346070336610e+00 1.033999999999999915e+02
-2.672580617059559245e+02 -9.622153888652125988e-07 5.933729508293729914e-08 3.924948882380207248e-03 9.640432402941230283e-07 3.203182033358880965e+00 1.052800000000000011e+02
-2.665618419938279544e+02 -9.640598828369458042e-07 6.210748479404583209e-08 4.028825195771106558e-03 9.660583819640656496e-07 3.205926599632352048e+00 1.071599999999999966e+02
-2.658656222817000412e+02 -9.654710628801542284e-07 6.497679088080761111e-08 4.266025737500369480e-03 9.676550814273146431e-07 3.208791928394908233e+00 1.090399999999999920e+02
-2.651694025695720711e+02 -9.655533575144772392e-07 6.796533875048704203e-08 4.597460371105144272e-03 9.679424432676503329e-07 3.211866782054138003e+00 1.109199999999999875e+02
-2.644731828574441010e+02 -9.640806406997983782e-07 7.108566635269917050e-08 4.946560747757296206e-03 9.666978089004551929e-07 3.215193613467089317e+00 1.127999999999999972e+02
-2.637769631453161310e+02 -9.614973835194503234e-07 7.433857397698273133e-08 5.236497518292897863e-03 9.643668607411185618e-07 3.218754568253792137e+00 1.146799999999999926e+02
-2.630807434331881609e+02 -9.585604267474602393e-07 7.770989078729848681e-08 5.421475887266060355e-03 9.617052141131643462e-07 3.222485119056578640e+00 1.165599999999999881e+02
-2.623845237210601908e+02 -9.558890726716657742e-07 8.116855788006341873e-08 5.496886413758757597e-03 9.593290645244864481e-07 3.226303645016874277e+00 1.184399999999999977e+02
-2.616883040089322208e+02 -9.537093394284209723e-07 8.466906677762934713e-08 5.487816393484942941e-03 9.574603673165746000e-07 3.230139200409753109e+00 1.203199999999999932e+02
-2.609920842968043075e+02 -9.518845081314856312e-07 8.815963980389729549e-08 5.429774691886738933e-03 9.559582830391047686e-07 3.233945096916240658e+00 1.221999999999999886e+02
-2.602958645846762806e+02 -9.501142868907431945e-07 9.159498624537816178e-08 5.354176913336650655e-03 9.545191457792745687e-07 3.237699832755563278e+00 1.240799999999999983e+02
-2.595996448725483106e+02 -9.481386208048058026e-07 9.494712428077495412e-08 5.283249923983983354e-03 9.528807903776987678e-07 3.241400463934811516e+00 1.259599999999999937e+02
-2.589034251604203405e+02 -9.458567208971891966e-07 9.821261374493487120e-08 5.226596878966825559e-03 9.509419824389894432e-07 3.245056438237915675e+00 1.278399999999999892e+02
-2.582072054482924273e+02 -9.433771839005485613e-07 1.014099755255182539e-07 5.180282065112027344e-03 9.488121490791606791e-07 3.248678183483777904e+00 1.297199999999999989e+02
-2.575109857361644572e+02 -9.410039215569701190e-07 1.045748460345453179e-07 5.128543569971549289e-03 9.467968519216490258e-07 3.252269667214143567e+00 1.315999999999999943e+02
-2.568147660240364871e+02 -9.391580016616822877e-07 1.077459564446107604e-07 5.051363608228597382e-03 9.453184348225356237e-07 3.255819369739620495e+00 1.334799999999999898e+02
-2.561185463119085171e+02 -9.382129400708115367e-07 1.109506426553561514e-07 4.944994241963894532e-03 9.447505311043508127e-07 3.259303385048492707e+00 1.353599999999999852e+02
-2.554223265997805754e+02 -9.382811351502296009e-07 1.141963040653183137e-07 4.836977884393180334e-03 9.452048901910008710e-07 3.262704974674849545e+00 1.372399999999999807e+02
-2.547261068876526053e+02 -9.390371384881808390e-07 1.174663694630673169e-07 4.779041210908646815e-03 9.463556918066826780e-07 3.266038583748975821e+00 1.391200000000000045e+02
-2.540298871755246353e+02 -9.397071106872123757e-07 1.207210282802334210e-07 4.818414294617939450e-03 9.474296916104886718e-07 3.269359500067062552e+00 1.410000000000000000e+02
-2.533336674633966936e+02 -9.393031181377983190e-07 1.239058437498374096e-07 4.959158577221143248e-03 9.474402386740546138e-07 3.272747933775200124e+00 1.428799999999999955e+02
-2.526374477512687236e+02 -9.370558042777680178e-07 1.269638362340314035e-07 5.136591213510750993e-03 9.456179968898204489e-07 3.276264827981122174e+00 1.447599999999999909e+02
-2.519412280391407535e+02 -9.328257331314820149e-07 1.298459552038953415e-07 5.231966461412052016e-03 9.418194203110802210e-07 3.279900325887179058e+00 1.466399999999999864e+02
-2.512450083270128118e+02 -9.272335587607029932e-07 1.325190059908016645e-07 5.124277331837154975e-03 9.366554112590330520e-07 3.283550024348377061e+00 1.485199999999999818e+02
-2.505487886148848418e+02 -9.214043338661908475e-07 1.349647451525620350e-07 4.756379756901211661e-03 9.312365053526922840e-07 3.287035571664850053e+00 1.503999999999999773e+02
-2.498525689027568717e+02 -9.164532303918917521e-07 1.371778743161684996e-07 4.174240538600671943e-03 9.266629876592871913e-07 3.290172995038619153e+00 1.522800000000000011e+02
