# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 2.426374416499618274e-07 -1.368559505710264263e-08 -1.267756975520487397e-02 2.430230927350436587e-07 5.634377656215242697e-02 0.000000000000000000e+00
-3.055501458729938236e+02 2.422821469334610910e-07 -1.157482418588769950e-08 -1.267756975520487397e-02 2.425584780576046005e-07 4.773785589544428387e-02 1.879999999999999893e+00
-3.048539261608659103e+02 2.435417378297962736e-07 -9.427585172314309805e-09 -1.318307914485039069e-02 2.437241420691402867e-07 3.869102863125063047e-02 3.759999999999999787e+00
-3.041577064487379403e+02 2.461756799782403034e-07 -7.235023026668524455e-09 -1.341875573334328983e-02 2.462819745148747669e-07 2.938121676106852237e-02 5.639999999999999680e+00
-3.034614867366099702e+02 2.496904527964664100e-07 -4.996029729950448159e-09 -1.340981273514522780e-02 2.497404303086846236e-07 2.000622412368321598e-02 7.519999999999999574e+00
-3.027652670244820001e+02 2.532719865792255297e-07 -2.712359156264072172e-09 -1.327386312842119762e-02 2.532865098618162687e-07 1.070886483676314511e-02 9.399999999999998579e+00
-3.020690473123540301e+02 2.558386880855004572e-07 -3.896870859072940546e-10 -1.317571000261981255e-02 2.558389848661359361e-07 1.523173791492459959e-03 1.127999999999999936e+01
-3.013728276002260600e+02 2.563869769430120211e-07 1.958196999232899165e-09 -1.325093041248238609e-02 2.563944548570900261e-07 -7.637513213447818736e-03 1.316000000000000014e+01
-3.006766078880981468e+02 2.546204093856473123e-07 4.310611813377187222e-09 -1.348779002326634495e-02 2.546568951548735603e-07 -1.692794412291983089e-02 1.503999999999999915e+01
-2.999803881759701767e+02 2.515139976877247380e-07 6.646154674558427507e-09 -1.363054863912172704e-02 2.516017933259199566e-07 -2.641844378792959983e-02 1.691999999999999815e+01
-2.992841684638422066e+02 2.492035022550391647e-07 8.952161837549630626e-09 -1.328410752710118894e-02 2.493642451069178429e-07 -3.590765742227085278e-02 1.879999999999999716e+01
-2.985879487517142366e+02 2.498443557427040987e-07 1.122950140251787676e-08 -1.230713680963616691e-02 2.500965889376263573e-07 -4.491575882472018111e-02 2.067999999999999972e+01
-2.978917290395862665e+02 2.540270509067328864e-07 1.348741563677467034e-08 -1.114352767520256950e-02 2.543848520901568141e-07 -5.304459991571953970e-02 2.255999999999999872e+01
-2.971955093274582964e+02 2.600073863315081591e-07 1.573203857797515541e-08 -1.059894624413163997e-02 2.604828938428799178e-07 -6.043244608495920017e-02 2.443999999999999773e+01
-2.964992896153303263e+02 2.643888316354578234e-07 1.795387467128588874e-08 -1.130613602658273736e-02 2.649977281209684488e-07 -6.780299052161770090e-02 2.632000000000000028e+01
-2.958030699032023563e+02 2.635736699844682701e-07 2.011679650062957086e-08 -1.358258018456016437e-02 2.643402447803382959e-07 -7.617555562437323957e-02 2.819999999999999929e+01
-2.951068501910743862e+02 2.549097407016947005e-07 2.216030406908433693e-08 -1.772759921522490401e-02 2.558711687178520874e-07 -8.671591065371657414e-02 3.007999999999999829e+01
-2.944106304789464161e+02 2.372383542866196541e-07 2.400936845783361144e-08 -2.437800421611893698e-02 2.384501761760047355e-07 -1.008601636690607678e-01 3.195999999999999730e+01
-2.937144107668185029e+02 2.110295474884494128e-07 2.558729110871097409e-08 -3.498202742988153202e-02 2.125751146758755664e-07 -1.206608048089177071e-01 3.383999999999999631e+01
-2.930181910546905328e+02 1.780100276540450226e-07 2.682539097039740210e-08 -5.316892921702890545e-02 1.800199198591882313e-07 -1.495705178028299831e-01 3.571999999999999886e+01
-2.923219713425625628e+02 1.403376443502428047e-07 2.767363722909780223e-08 -8.929926881781215242e-02 1.430401503748613697e-07 -1.946953179961813940e-01 3.759999999999999432e+01
-2.916257516304345927e+02 1.000486402639643473e-07 2.811135550139353651e-08 -1.792809897360337079e-01 1.039229461033215682e-07 -2.739143402619793055e-01 3.947999999999999687e+01
