# r=8.000000e+02
# M=2.700297e+00
# u/M:0 Reh/M:1 Imh/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 -3.365654136580163991e-01 5.044714933205725060e-01 -2.003844997386759405e-03 6.064385914862939764e-01 -2.159143425515099857e+00 0.000000000000000000e+00
-3.055501458729938236e+02 -3.232462440776512347e-01 4.832166824501725189e-01 -2.003844997386759405e-03 5.813660606781749784e-01 -2.160375810033118071e+00 1.879999999999999893e+00
-3.048539261608659103e+02 -3.103562341930750090e-01 4.623872711684752224e-01 -2.194968089214570893e-03 5.568868652079486115e-01 -2.161933658289559190e+00 3.759999999999999787e+00
-3.041577064487379403e+02 -2.976902589188282766e-01 4.420836667149352084e-01 -2.237671885361856416e-03 5.329704106526749197e-01 -2.163432170135524135e+00 5.639999999999999680e+00
-3.034614867366099702e+02 -2.853346411234804481e-01 4.222593581523670370e-01 -2.338165469613194374e-03 5.096261600156671845e-01 -2.165049480841286123e+00 7.519999999999999574e+00
-3.027652670244820001e+02 -2.732420027381034511e-01 4.029390803404602206e-01 -2.420503321668310108e-03 4.868481226480652069e-01 -2.166687923915847414e+00 9.399999999999998579e+00
-3.020690473123540301e+02 -2.614421364030926065e-01 3.841044556118621833e-01 -2.522955907077060068e-03 4.646377336247007328e-01 -2.168419885092919497e+00 1.127999999999999936e+01
-3.013728276002260600e+02 -2.499140745727654322e-01 3.657654648397941632e-01 -2.624770056018321286e-03 4.429914445438336568e-01 -2.170200987186520880e+00 1.316000000000000014e+01
-3.006766078880981468e+02 -2.386724358105109522e-01 3.479113007908721800e-01 -2.740313440487664003e-03 4.219085266188860039e-01 -2.172074718398525839e+00 1.503999999999999915e+01
-2.999803881759701767e+02 -2.277050740733363443e-01 3.305463254277264395e-01 -2.861472209814042763e-03 4.013856923365804463e-01 -2.174016707655874292e+00 1.691999999999999815e+01
-2.992841684638422066e+02 -2.170202776135476685e-01 3.136625956118312963e-01 -2.995784862759376995e-03 3.814210596983503287e-01 -2.176059145114883631e+00 1.879999999999999716e+01
-2.985879487517142366e+02 -2.066097731707473850e-01 2.972615629118224301e-01 -3.139843812925836690e-03 3.620110981095014391e-01 -2.178188156605369574e+00 2.067999999999999972e+01
-2.978917290395862665e+02 -1.964785198923089393e-01 2.813365032938824339e-01 -3.298696890053958320e-03 3.431530808031616475e-01 -2.180431187426007611e+00 2.255999999999999872e+01
-2.971955093274582964e+02 -1.866201948708524072e-01 2.658870491114569967e-01 -3.471348866019589776e-03 3.248430698334709432e-01 -2.182781392203751114e+00 2.443999999999999773e+01
-2.964992896153303263e+02 -1.770377211928025607e-01 2.509069799788014588e-01 -3.661986782164927765e-03 3.070776242698630143e-01 -2.185264830442399386e+00 2.632000000000000028e+01
-2.958030699032023563e+02 -1.677258251053006521e-01 2.363946397775763542e-01 -3.871291258552690337e-03 2.898523384808616155e-01 -2.187880486970341654e+00 2.819999999999999929e+01
-2.951068501910743862e+02 -1.586860447379486727e-01 2.223439585560304521e-01 -4.103472192044122294e-03 2.731631320309167443e-01 -2.190655369013585485e+00 3.007999999999999829e+01
-2.944106304789464161e+02 -1.499136836562250386e-01 2.087522876604275823e-01 -4.360790181101509462e-03 2.570051169740412145e-01 -2.193594323426881765e+00 3.195999999999999730e+01
-2.937144107668185029e+02 -1.414092648111887895e-01 1.956135192157596181e-01 -4.648200337029476277e-03 2.413736296168561557e-01 -2.196727505182659357e+00 3.383999999999999631e+01
-2.930181910546905328e+02 -1.331684034622101775e-01 1.829241937623505565e-01 -4.969864953836850702e-03 2.262633075517989645e-01 -2.200066660828001286e+00 3.571999999999999886e+01
-2.923219713425625628e+02 -1.251908348871013377e-01 1.706780582704836846e-01 -5.332327829587555322e-03 2.116689507573373819e-01 -2.203647741077609634e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -1.174723231368678678e-01 1.588709608665721251e-01 -5.742431012407430216e-03 1.975847385549819868e-01 -2.207491604320976020e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -1.100119606489213392e-01 1.474964387829474366e-01 -6.209586409695676268e-03 1.840049753117332654e-01 -2.211643728410355614e+00 4.135999999999999943e+01
