# r=8.000000e+02
# M=2.700297e+00
# u/M:0 RePsi4/M:1 ImPsi4/M:2 Momega:3 A/M:4 phi:5 t:6
-3.062463655851217936e+02 7.500256765933461608e-09 6.623743751367573236e-09 3.064927539015517288e-01 1.000638960058579990e-08 -7.234192372439604002e-01 0.000000000000000000e+00
-3.055501458729938236e+02 8.117977714260356993e-09 4.701614285505299223e-09 3.064927539015517288e-01 9.381190705816364485e-09 -5.249555923625913723e-01 1.879999999999999893e+00
-3.048539261608659103e+02 9.137117225955611078e-09 2.792904316628978808e-09 3.153256972272110992e-01 9.554434871969119207e-09 -2.966466434626710003e-01 3.759999999999999787e+00
-3.041577064487379403e+02 1.051874076421292732e-08 9.056156597068514544e-10 2.687639903346313863e-01 1.055765347924532841e-08 -8.588366006243558504e-02 5.639999999999999680e+00
-3.034614867366099702e+02 1.215824346245775305e-08 -9.452671568590630187e-10 2.011234471039834160e-01 1.219493395186021898e-08 7.759093249960798133e-02 7.519999999999999574e+00
-3.027652670244820001e+02 1.389467998066446649e-08 -2.732334209924709764e-09 1.426534941601394213e-01 1.416078324104294896e-08 1.941685568274018892e-01 9.399999999999998579e+00
-3.020690473123540301e+02 1.554530446724106431e-08 -4.406690541464736828e-09 1.007502882692540153e-01 1.615782821134881840e-08 2.762272817760483834e-01 1.127999999999999936e+01
-3.013728276002260600e+02 1.694811920184566054e-08 -5.889686369338774894e-09 7.083110598365920108e-02 1.794232844446741482e-08 3.344572302186604174e-01 1.316000000000000014e+01
-3.006766078880981468e+02 1.799904401421677506e-08 -7.081894363795487862e-09 4.698291553492205119e-02 1.934215120418799292e-08 3.748553062113451628e-01 1.503999999999999915e+01
-2.999803881759701767e+02 1.867361273870179525e-08 -7.892393629392235370e-09 2.562721756947170665e-02 2.027297930537781281e-08 3.998780940759719682e-01 1.691999999999999815e+01
-2.992841684638422066e+02 1.902345609579791502e-08 -8.280395901204640498e-09 5.836487004743836846e-03 2.074745377412460542e-08 4.105396542890616396e-01 1.879999999999999716e+01
-2.985879487517142366e+02 1.914167548285797658e-08 -8.274208400121015299e-09 -1.207141454582525385e-02 2.085344731548429845e-08 4.080050486805346655e-01 2.067999999999999972e+01
-2.978917290395862665e+02 1.910986744453585530e-08 -7.938678039484507749e-09 -2.915303169195370206e-02 2.069322697798303452e-08 3.937309407689181251e-01 2.255999999999999872e+01
-2.971955093274582964e+02 1.895776474694902740e-08 -7.296614446150194998e-09 -5.036714764054039256e-02 2.031347893829195752e-08 3.674112180160759578e-01 2.443999999999999773e+01
-2.964992896153303263e+02 1.864412374629339735e-08 -6.252997237972919386e-09 -8.538856158086309545e-02 1.966477370134724567e-08 3.235977387069108868e-01 2.632000000000000028e+01
-2.958030699032023563e+02 1.804775778298285937e-08 -4.579769712543132410e-09 -1.490397637383339968e-01 1.861977045006586120e-08 2.485128184903773463e-01 2.819999999999999929e+01
-2.951068501910743862e+02 1.698722929481095753e-08 -1.980591113948484475e-09 -2.627456436919051175e-01 1.710230102281956709e-08 1.160688958958662337e-01 3.007999999999999829e+01
-2.944106304789464161e+02 1.527826357510784991e-08 1.801095813833050799e-09 -4.387081827701770353e-01 1.538405941229668473e-08 -1.173445743377310585e-01 3.195999999999999730e+01
-2.937144107668185029e+02 1.276641630660755710e-08 6.888464096533090917e-09 -6.025995013273471868e-01 1.450628563495289667e-08 -4.948056735370016668e-01 3.383999999999999631e+01
-2.930181910546905328e+02 9.324599004532463716e-09 1.321810945012599015e-08 -6.040426342149441963e-01 1.617611090561751192e-08 -9.564278770228898940e-01 3.571999999999999886e+01
-2.923219713425625628e+02 4.910027002551499941e-09 2.051694241345416796e-08 -4.488885571502626570e-01 2.109628619361188366e-08 -1.335898451349290195e+00 3.759999999999999432e+01
-2.916257516304345927e+02 -3.023152623981467032e-10 2.830115915436503876e-08 -2.848746692190693430e-01 2.830277378630191825e-08 -1.581478001096273900e+00 3.947999999999999687e+01
-2.909295319183066226e+02 -5.859642906744690442e-09 3.590489491099846224e-08 -1.763074733979639874e-01 3.637989683278948486e-08 -1.732569171741788594e+00 4.135999999999999943e+01
-2.902333122061786526e+02 -1.114663204402700803e-08 4.255504637510629837e-08 -1.115939424128021551e-01 4.399067376060950560e-08 -1.826975477846551454e+00 4.323999999999999488e+01
-2.895370924940507393e+02 -1.559070427518382772e-08 4.749770759428518681e-08 -7.382146606889819496e-02 4.999102205905027442e-08 -1.887956976665519537e+00 4.511999999999999744e+01
-2.888408727819227693e+02 -1.882386510976210967e-08 5.016639232794760560e-08 -5.297012635916986678e-02 5.358175824729980405e-08 -1.929767397557256459e+00 4.700000000000000000e+01
-2.881446530697947992e+02 -2.074627616207018688e-08 5.033929821613646477e-08 -4.340480815457391922e-02 5.444678979963834367e-08 -1.961714668915845561e+00 4.887999999999999545e+01
-2.874484333576668291e+02 -2.149023489368619950e-08 4.819901196992073924e-08 -4.149686262416461130e-02 5.277286187674846860e-08 -1.990205963633950192e+00 5.075999999999999801e+01
-2.867522136455388591e+02 -2.130875058747418167e-08 4.425925538447709370e-08 -4.413042543449662014e-02 4.912173183823577392e-08 -2.019496536416664600e+00 5.264000000000000057e+01
-2.860559939334108890e+02 -2.044928443337539901e-08 3.919720481888041995e-08 -4.803202762120714620e-02 4.421079166278694359e-08 -2.051654907818129647e+00 5.451999999999999602e+01
-2.853597742212829758e+02 -1.908064932943421589e-08 3.366915226861749797e-08 -5.029291795321055164e-02 3.869990947431517349e-08 -2.086378225303382905e+00 5.639999999999999858e+01
-2.846635545091550057e+02 -1.731039471775415724e-08 2.817776077801194032e-08 -4.997613971260402022e-02 3.307016733775804183e-08 -2.121684749537048553e+00 5.827999999999999403e+01
-2.839673347970270356e+02 -1.525738674914984587e-08 2.302710646835850278e-08 -4.903618112577403515e-02 2.762309690672374890e-08 -2.155966972511334845e+00 6.015999999999999659e+01
-2.832711150848990656e+02 -1.308743233705404737e-08 1.836435128677399016e-08 -5.062664550748362247e-02 2.255061603063218677e-08 -2.189964661351530673e+00 6.203999999999999915e+01
-2.825748953727710955e+02 -1.097475794504880831e-08 1.426808411727757403e-08 -5.554672626664362844e-02 1.800065377507496266e-08 -2.226461509633784086e+00 6.391999999999999460e+01
-2.818786756606431254e+02 -9.046018679126497343e-09 1.081611613256744372e-08 -5.955740378226143106e-02 1.410031283824196856e-08 -2.267310112893557328e+00 6.579999999999999716e+01
-2.811824559485152122e+02 -7.373318794532470114e-09 8.097948191039507269e-09 -5.263117190150420205e-02 1.095183066663130085e-08 -2.309391586666533769e+00 6.767999999999999261e+01
-2.804862362363871853e+02 -5.989964294418556205e-09 6.179811876158872347e-09 -2.170046089800622274e-02 8.606378278528281495e-09 -2.340595831594002529e+00 6.956000000000000227e+01
-2.797900165242592720e+02 -4.890506045528007129e-09 5.055488688565489360e-09 3.777031351343375365e-02 7.033847827580548112e-09 -2.339608163945441799e+00 7.143999999999999773e+01
-2.790937968121312451e+02 -4.028821908840378166e-09 4.619478589291487112e-09 1.078086303004703872e-01 6.129517795885308605e-09 -2.288002957991391195e+00 7.331999999999999318e+01
-2.783975771000033319e+02 -3.333273245900265214e-09 4.681954812316709217e-09 1.578619424146376071e-01 5.747296007376866354e-09 -2.189491176840035358e+00 7.519999999999998863e+01
-2.777013573878753618e+02 -2.722785154377231733e-09 5.015050168007226467e-09 1.770436550146291532e-01 5.706512699059413346e-09 -2.068189765783631007e+00 7.707999999999999829e+01
-2.770051376757473918e+02 -2.110695149137846466e-09 5.406987444961094647e-09 1.823434244878811283e-01 5.804355885243506850e-09 -1.942968611783300270e+00 7.895999999999999375e+01
-2.763089179636194217e+02 -1.416673798778886202e-09 5.702731283265990018e-09 1.926215197421042025e-01 5.876062350016988633e-09 -1.814287592772872770e+00 8.083999999999998920e+01
-2.756126982514914516e+02 -6.066340804486031874e-10 5.814312517409324100e-09 2.096800525030823870e-01 5.845873327199663937e-09 -1.674754813734303127e+00 8.271999999999999886e+01
-2.749164785393634816e+02 2.770093305331657482e-10 5.709941835544180864e-09 2.251452082032572855e-01 5.716657234302235282e-09 -1.522320821187528317e+00 8.459999999999999432e+01
-2.742202588272355683e+02 1.147354062833644154e-09 5.395142156515798782e-09 2.372397197800506508e-01 5.515793708480657625e-09 -1.361253749649780076e+00 8.647999999999998977e+01
-2.735240391151075983e+02 1.948993454522213543e-09 4.896449813149581755e-09 2.578401792382078450e-01 5.270085033323751013e-09 -1.191978882366357295e+00 8.835999999999999943e+01
-2.728278194029796282e+02 2.715575506525444691e-09 4.250045768425250976e-09 2.977963203572385198e-01 5.043534412031934283e-09 -1.002226918921285126e+00 9.023999999999999488e+01
-2.721315996908516581e+02 3.553995404585651618e-09 3.497003632519969402e-09 3.391197765670235231e-01 4.985972095958197982e-09 -7.773155455025922977e-01 9.211999999999999034e+01
-2.714353799787236881e+02 4.573160787780750474e-09 2.679635060221375431e-09 3.382743310945455772e-01 5.300400328924510562e-09 -5.300231724845004821e-01 9.400000000000000000e+01
-2.707391602665957180e+02 5.813071774897929856e-09 1.838329269416312671e-09 2.808253878883085752e-01 6.096823596177576008e-09 -3.062890306727445999e-01 9.587999999999999545e+01
-2.700429405544678048e+02 7.227984712341540884e-09 1.011143243740933671e-09 2.004394547040268260e-01 7.298367876532805836e-09 -1.389908310568583327e-01 9.775999999999999091e+01
-2.693467208423398347e+02 8.726034625109124698e-09 2.373126588431932802e-10 1.305591270629397893e-01 8.729260998311974605e-09 -2.718923176649763740e-02 9.964000000000000057e+01
-2.686505011302118646e+02 1.022756594167913258e-08 -4.380569480615970446e-10 7.844353843096935064e-02 1.023694285327118674e-08 4.280484466201785881e-02 1.015199999999999960e+02
-2.679542814180838946e+02 1.169133852407157023e-08 -9.612991471620520072e-10 3.910526724516867614e-02 1.173079249389292156e-08 8.203864372291853890e-02 1.033999999999999915e+02
-2.672580617059559245e+02 1.309461128895589405e-08 -1.277567498597259459e-09 7.824283115853926732e-03 1.315678621557419757e-08 9.725656047025466044e-02 1.052800000000000011e+02
-2.665618419938279544e+02 1.439216657477966110e-08 -1.341378070506784051e-09 -1.761603906706678963e-02 1.445454094200993273e-08 9.293348399997354570e-02 1.071599999999999966e+02
-2.658656222817000412e+02 1.549814853087384161e-08 -1.129129847655377814e-09 -3.830858545201701326e-02 1.553922591694622613e-08 7.272729317403836546e-02 1.090399999999999920e+02
-2.651694025695720711e+02 1.631466891891322945e-08 -6.462533707035605748e-10 -5.532432276454608139e-02 1.632746353090090515e-08 3.959109932910821750e-02 1.109199999999999875e+02
-2.644731828574441010e+02 1.678777315581597388e-08 7.233014789036350937e-11 -6.948553428564123446e-02 1.678792897237265562e-08 -4.308474963575206242e-03 1.127999999999999972e+02
-2.637769631453161310e+02 1.694052455953283546e-08 9.694324037579027930e-10 -8.063414983859822083e-02 1.696824008368548923e-08 -5.716329802570550150e-02 1.146799999999999926e+02
